Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,43,4.23,0.69,162,1458,1110,13095.0,6165,4365,1693,107,132,0.983,25,2,,-4,
Atlanta Braves,34,4.57,0.699,162,1458,1111,13107.0,6374,4369,1884,121,166,0.981,42,4,,4,
Chicago Cubs,42,4.22,0.692,162,1458,1103,13107.0,6156,4369,1681,106,157,0.983,7,1,,-2,
Cincinnati Reds,57,5.47,0.685,162,1458,1100,13017.0,6180,4339,1700,141,152,0.977,29,3,,0,
Colorado Rockies,49,5.51,0.678,162,1458,1120,12780.0,6161,4260,1785,116,165,0.981,9,1,,0,
Florida Marlins,40,4.27,0.691,162,1458,1185,13008.0,6004,4336,1590,78,162,0.987,-15,-1,,-2,
Houston Astros,43,4.18,0.705,162,1458,1113,13050.0,6155,4350,1710,95,149,0.985,-9,-1,,6,
Los Angeles Dodgers,42,3.43,0.702,162,1458,1058,13119.0,6302,4373,1810,119,164,0.981,48,4,,6,
Milwaukee Brewers,42,5.39,0.683,162,1458,1171,13068.0,6087,4356,1617,114,142,0.981,-15,-1,,-8,
Montreal Expos,43,4.42,0.694,162,1458,1082,12939.0,6147,4313,1732,102,152,0.983,9,1,,1,
New York Mets,50,4.68,0.688,161,1449,957,12720.0,6013,4240,1655,118,158,0.98,-51,-5,,-4,
Philadelphia Phillies,37,4.3,0.701,162,1458,1179,12993.0,6122,4331,1694,97,146,0.984,62,6,,1,
Pittsburgh Pirates,45,4.94,0.691,162,1458,1058,12999.0,6300,4333,1844,123,159,0.98,-28,-3,,0,
San Diego Padres,51,5.13,0.695,162,1458,1085,12882.0,6030,4294,1634,102,141,0.983,-26,-2,,-2,
San Francisco Giants,46,3.96,0.71,161,1449,1105,12936.0,6067,4312,1675,80,163,0.987,46,4,,3,
St. Louis Cardinals,42,4.91,0.7,162,1458,973,13173.0,6112,4391,1644,77,138,0.987,32,3,,-1,
League Average,42,4.6,0.694,162,1457,1094,13000.0,6148,4333,1709,106,153,0.983,10,0,,0,
,673,4.6,0.694,2590,23310,17510,207993.0,98375,69331,27348,1696,2446,0.983,164,1,,0,
