Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,52,4.38,0.701,162,1458,1204,13077.0,6027,4359,1614,54,165,0.991,19,2,26,2,1
Boston Red Sox,48,4.05,0.694,162,1458,1121,13086.0,5958,4362,1516,80,142,0.987,21,2,22,-2,-1
Chicago White Sox,47,4.46,0.687,162,1458,1110,13095.0,6041,4365,1555,121,155,0.98,-64,-6,-59,-2,-7
Cleveland Indians,48,4.09,0.683,162,1458,1149,12972.0,5925,4324,1503,98,135,0.983,-14,-1,-31,-4,-6
Detroit Tigers,39,3.85,0.682,162,1458,1090,13164.0,5972,4388,1508,76,136,0.987,-53,-5,-72,-5,-2
Houston Astros,50,5.23,0.679,162,1458,1124,12960.0,6080,4320,1635,125,168,0.979,-69,-6,-52,-1,7
Kansas City Royals,43,3.71,0.698,162,1458,1154,13035.0,5950,4345,1520,85,136,0.986,55,5,67,1,6
Los Angeles Angels of Anaheim,49,4.55,0.683,162,1458,1135,13119.0,5985,4373,1500,112,135,0.981,-44,-4,-86,-5,-9
Minnesota Twins,44,4.86,0.679,162,1458,1155,13053.0,6155,4351,1723,81,178,0.987,-43,-4,-43,-2,-1
New York Yankees,55,4.14,0.687,162,1458,1128,13026.0,5955,4342,1544,69,139,0.988,-22,-2,24,-1,-2
Oakland Athletics,44,3.86,0.708,162,1458,1094,13068.0,5830,4356,1377,97,112,0.983,-7,-1,-63,-6,-2
Seattle Mariners,47,4.65,0.683,162,1458,1144,13185.0,6128,4395,1645,88,149,0.986,-53,-5,-99,-3,-7
Tampa Bay Rays,41,3.96,0.707,163,1467,1042,13176.0,6044,4392,1593,59,147,0.99,13,1,30,3,6
Texas Rangers,45,3.9,0.693,163,1467,1138,13170.0,6025,4390,1549,86,146,0.986,54,5,29,0,-2
Toronto Blue Jays,53,4.67,0.69,162,1458,1114,13068.0,6072,4356,1605,111,145,0.982,-39,-4,12,0,1
League Average,45,4.29,0.69,162,1459,1127,13084.0,6010,4361,1559,89,146,0.985,-16,0,-20,0,-1
,672,4.29,0.69,2432,21888,16902,196254.0,90147,65418,23387,1342,2188,0.985,-245,-1,-295,0,-17
