Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,Paul Abbott,36,TBD,10,9,0,47.0,12,3,7,2,0,.833,,,0,0,0,1.91,1.00,P
2,Russ Adams,23,TOR,21,18,17,159.1,78,26,47,5,9,.936,-1,-9,-2,-14,0,4.12,3.48,SS
3,Terry Adams,31,TOT,61,0,0,70.0,15,9,4,2,1,.867,,,-2,-34,-1,1.67,0.21,P
4,Jon Adkins,26,CHW,50,0,0,62.0,13,4,8,1,1,.923,,,2,6,0,1.74,0.24,P
5,Jeremy Affeldt,25,KCR,38,8,0,76.1,17,3,12,2,2,.882,,,1,3,0,1.77,0.39,P
6,Kurt Ainsworth,25,BAL,7,7,0,30.2,4,2,2,0,1,1.000,,,0,0,0,1.17,0.57,P
7,Manny Alexander,33,TEX,21,5,5,70.0,35,10,22,3,1,.914,0,-5,0,-7,0,4.11,1.52,SS-2B-3B
8,Chad Allen,29,TEX,13,11,7,95.0,14,14,0,0,0,1.000,0,-3,2,25,0,1.33,1.08,OF
9,Carlos Almánzar,30,TEX,67,0,0,72.2,13,1,12,0,0,1.000,,,-1,-3,0,1.61,0.19,P
10,Roberto Alomar,36,CHW,13,13,8,103.0,56,23,32,1,14,.982,-2,-23,-3,-31,-1,4.81,4.23,2B
11,Sandy Alomar,38,CHW,49,46,34,377.0,296,278,15,3,2,.990,3,10,-1,-3,1,6.99,5.98,C
12,Abe Alvarez,21,BOS,1,1,0,5.0,1,1,0,0,0,1.000,,,0,0,0,1.80,1.00,P
13,Alfredo Amézaga,26,ANA,71,22,13,285.0,135,48,84,3,10,.978,3,14,3,12,0,4.17,1.78,SS-3B-2B
14,Brian Anderson,32,KCR,35,26,2,166.0,31,5,24,2,2,.935,,,3,4,0,1.57,0.83,P
15,Garret Anderson,32,ANA,94,92,75,791.2,217,211,4,2,1,.991,-7,-11,-10,-15,4,2.44,2.29,OF
16,Jason Anderson,25,CLE,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
17,Jimmy Anderson,28,BOS,5,0,0,6.0,1,1,0,0,0,1.000,,,0,0,0,1.50,0.20,P
18,Kevin Appier,36,KCR,2,2,0,4.0,2,1,1,0,0,1.000,,,1,50,0,4.50,1.00,P
19,Danny Ardoin,29,TEX,6,2,2,25.0,24,21,2,1,0,.958,-1,-48,-2,-96,-1,8.28,3.83,C
20,Bronson Arroyo,27,BOS,32,29,0,178.2,42,24,16,2,2,.952,,,-1,-1,0,2.01,1.25,P
21,Pedro Astacio,35,BOS,4,1,0,8.2,1,1,0,0,0,1.000,,,0,0,0,1.04,0.20,P
22,Scott Atchison,28,SEA,25,0,0,30.2,8,2,6,0,1,1.000,,,0,0,0,2.35,0.32,P
23,Rich Aurilia,32,SEA,73,71,66,634.0,302,113,186,3,39,.990,0,1,1,2,0,4.24,4.10,SS
24,Mike Bacsik,26,TEX,3,3,0,15.2,3,1,2,0,0,1.000,,,0,0,0,1.72,1.00,P
25,Cha-Seung Baek,24,SEA,7,5,0,31.0,5,3,2,0,0,1.000,,,1,6,0,1.45,0.71,P
