Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,49,3.98,0.698,162,1458,1119,13167.0,6150,4389,1686,75,152,0.988,28,3,125,7,14
Atlanta Braves,57,4.06,0.709,162,1458,1166,13110.0,5889,4370,1439,80,134,0.986,42,4,55,2,-1
Chicago Cubs,50,3.96,0.7,163,1467,933,13287.0,6208,4429,1675,104,155,0.983,76,7,84,5,7
Cincinnati Reds,53,5.06,0.685,162,1458,1084,12969.0,6026,4323,1608,95,144,0.984,-29,-3,-16,-2,1
Colorado Rockies,41,4.57,0.688,163,1467,1140,13071.0,6055,4357,1624,74,162,0.988,36,3,39,4,3
Los Angeles Dodgers,52,3.74,0.698,163,1467,910,13284.0,5963,4428,1435,100,111,0.983,11,1,57,3,6
Miami Marlins,51,5.02,0.697,161,1449,980,12978.0,5857,4326,1448,83,133,0.986,2,0,23,1,-2
Milwaukee Brewers,53,4.04,0.704,163,1467,959,13149.0,5944,4383,1453,108,141,0.982,57,5,123,5,0
New York Mets,56,4.36,0.691,162,1458,1136,13146.0,5876,4382,1406,88,121,0.985,-42,-4,-31,-1,2
Philadelphia Phillies,48,4.49,0.677,162,1458,1092,13011.0,5938,4337,1478,123,138,0.979,-54,-5,-82,-4,-10
Pittsburgh Pirates,47,4.3,0.686,161,1449,1136,12906.0,5884,4302,1477,105,129,0.982,-15,-1,10,-2,-11
San Diego Padres,49,4.73,0.68,162,1458,1092,13113.0,6010,4371,1539,100,127,0.983,-35,-3,32,1,1
San Francisco Giants,48,4.31,0.692,162,1458,1111,13152.0,6086,4384,1605,97,160,0.984,5,0,-5,-1,6
St. Louis Cardinals,49,4.27,0.685,162,1458,1031,13098.0,6039,4366,1540,133,151,0.978,-16,-1,-2,-2,0
Washington Nationals,53,4.21,0.703,162,1458,1077,13014.0,5765,4338,1363,64,115,0.989,-4,0,2,1,4
League Average,49,4.34,0.693,162,1459,1064,13097.0,5979,4366,1518,95,138,0.984,4,0,28,0,1
,728,4.34,0.693,2432,21888,15966,196455.0,89690,65485,22776,1429,2073,0.984,62,0,414,1,20
