Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
50,Rafael Bautista,25,WSN,7,1,0,16.1,4,4,0,0,0,1.000,0,29,0,0,0,2.20,0.57,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
51,Chris Beck,27,NYM,6,0,0,10.1,1,1,0,0,0,1.000,,,0,0,0,0.87,0.17,P
52,Tyler Beede,25,SFG,2,2,0,7.2,1,0,1,0,0,1.000,,,0,0,0,1.17,0.50,P
53,Josh Bell,25,PIT,137,135,129,1181.1,1110,1021,83,6,90,.995,-7,-7,-8,-8,-4,8.41,8.06,1B
54,Cody Bellinger,22,LAD,161,135,104,1292.2,876,852,20,4,58,.995,6,6,8,7,-1,6.07,4.57,1B-OF
55,Brandon Belt,30,SFG,109,103,95,922.1,893,791,94,8,92,.991,12,16,10,13,0,8.64,7.90,1B-OF
56,Chad Bettis,29,COL,27,20,0,120.1,31,9,22,0,1,1.000,,,3,5,0,2.32,1.15,P
57,Jesse Biddle,26,ATL,60,0,0,63.2,6,0,4,2,0,.667,,,-1,-3,0,0.57,0.07,P
58,Ty Blach,27,SFG,47,13,0,118.2,29,5,24,0,1,1.000,,,2,3,0,2.20,0.62,P
59,Ray Black,28,SFG,26,0,0,23.1,6,3,3,0,0,1.000,,,0,0,0,2.31,0.23,P
60,Charlie Blackmon,31,COL,151,151,138,1322.1,297,293,3,1,1,.997,-13,-12,-26,-23,-1,2.01,1.96,OF
61,Grégor Blanco,34,SFG,59,40,26,397.0,96,93,0,3,0,.969,-3,-8,-2,-6,-1,2.11,1.58,OF
62,Alex Blandino,25,CIN,48,26,19,262.2,112,44,63,5,24,.955,1,3,-1,-4,-1,3.67,2.10,2B-3B-SS-OF-P-1B
63,Jerry Blevins,34,NYM,64,1,0,42.2,4,0,4,0,0,1.000,,,1,5,0,0.84,0.06,P
64,Christopher Bostick,25,TOT,4,2,1,15.0,6,5,1,0,1,1.000,0,8,0,0,0,3.60,1.50,2B-OF
65,David Bote,25,CHC,65,48,35,444.2,160,42,113,5,18,.969,6,15,11,29,1,3.14,2.09,3B-2B-SS-OF-1B
66,Justin Bour,30,TOT,113,107,65,897.1,825,764,57,4,81,.995,-6,-8,-4,-5,-2,8.23,7.27,1B
67,Peter Bourjos,31,ATL,25,4,4,89.0,18,17,1,0,0,1.000,4,57,1,13,0,1.82,0.72,OF
68,Matt Bowman,27,STL,22,0,0,23.0,10,1,8,1,0,.900,,,0,0,0,3.52,0.41,P
69,Brad Boxberger,30,ARI,60,0,0,53.1,5,0,5,0,0,1.000,,,-1,-4,0,0.84,0.08,P
70,Brad Brach,32,ATL,27,0,0,23.2,2,0,2,0,0,1.000,,,-1,-8,0,0.76,0.07,P
71,Silvino Bracho,25,ARI,31,0,0,31.0,3,1,1,1,0,.667,,,-1,-6,0,0.58,0.06,P
72,Archie Bradley,25,ARI,76,0,0,71.2,10,3,7,0,1,1.000,,,-1,-3,0,1.26,0.13,P
