Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,45,4.83,0.683,162,1458,1131,13029.0,6073,4343,1606,124,133,0.98,-7,-1,,0,-21
Atlanta Braves,45,3.96,0.686,162,1458,1121,13164.0,6198,4388,1714,96,159,0.985,14,1,,0,-11
Chicago Cubs,45,4.17,0.698,161,1449,1060,13008.0,6014,4336,1573,105,144,0.983,0,0,,-2,-14
Cincinnati Reds,45,4.46,0.704,162,1458,1118,13125.0,6060,4375,1596,89,161,0.985,73,7,,3,3
Colorado Rockies,45,4.41,0.688,162,1458,1065,12945.0,6167,4315,1765,87,146,0.986,-14,-1,,1,5
Florida Marlins,44,4.73,0.686,162,1458,1086,13017.0,5914,4339,1469,106,129,0.982,-10,-1,,-6,-17
Houston Astros,42,4.75,0.677,162,1458,1147,12870.0,6087,4290,1719,78,161,0.987,-50,-5,,0,12
Los Angeles Dodgers,46,3.77,0.713,162,1458,1139,13260.0,6097,4420,1594,83,134,0.986,22,2,,1,0
Milwaukee Brewers,45,5.05,0.689,162,1458,1165,12915.0,5993,4305,1590,98,149,0.984,-7,-1,,-1,0
New York Mets,51,4.67,0.693,162,1458,1128,12834.0,5932,4278,1557,97,134,0.984,9,1,,1,-1
Philadelphia Phillies,41,4.38,0.693,162,1458,1196,13101.0,6000,4367,1557,76,132,0.987,16,1,,1,5
Pittsburgh Pirates,49,4.77,0.69,161,1449,1237,12765.0,6094,4255,1766,73,171,0.988,-17,-2,,3,10
San Diego Padres,54,4.75,0.692,162,1458,1161,13056.0,6012,4352,1566,94,146,0.984,-33,-3,,-1,1
San Francisco Giants,44,3.77,0.706,162,1458,1051,13014.0,5937,4338,1511,88,138,0.985,47,4,,2,-8
St. Louis Cardinals,42,3.95,0.694,162,1458,972,12966.0,6273,4322,1855,96,167,0.985,35,3,,4,12
Washington Nationals,55,5.4,0.683,162,1458,1082,12819.0,6158,4273,1742,143,155,0.977,-18,-2,,-4,-23
League Average,44,4.49,0.692,162,1457,1116,12993.0,6063,4331,1636,96,147,0.984,4,0,,0,-3
,704,4.49,0.692,2590,23310,17859,207888.0,97009,69296,26180,1533,2359,0.984,61,0,,0,-45
