Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
51,Joe Borchard,24,CHW,16,15,14,133.0,32,32,0,0,0,1.000,-3,-28,0,0,,2.17,2.00,OF
52,Pat Borders,40,SEA,9,4,2,39.0,31,29,2,0,0,1.000,2,55,-1,-25,,7.15,3.44,C-3B
53,Mike Bordick,37,TOR,101,91,82,814.0,417,163,249,5,63,.988,9,13,5,8,,4.56,3.96,SS-3B-2B
54,Rob Bowen,22,MIN,7,0,0,23.1,18,15,2,1,0,.944,-3,-154,-1,-67,,6.56,2.43,C
55,Micah Bowie,28,OAK,6,0,0,8.1,2,0,2,0,0,1.000,,,1,24,,2.16,0.33,P
56,Brian Bowles,26,TOR,5,0,0,7.0,1,0,0,1,0,.000,,,0,0,,0.00,0.00,P
57,Jason Boyd,30,CLE,44,0,0,52.1,14,2,11,1,1,.929,,,2,8,,2.24,0.30,P
58,Chad Bradford,28,OAK,72,0,0,77.0,23,2,20,1,0,.957,,,0,0,,2.57,0.31,P
59,Milton Bradley,25,CLE,93,93,89,838.2,253,245,6,2,3,.992,1,1,2,2,,2.69,2.70,OF
60,Dewon Brazelton,23,TBD,10,10,0,48.1,11,3,7,1,1,.909,,,-1,-4,,1.86,1.00,P
61,Ben Broussard,26,CLE,114,101,92,925.0,1029,957,63,9,85,.991,3,4,-4,-5,,9.92,8.95,1B
62,Adrian Brown,29,BOS,9,2,2,37.0,9,9,0,0,0,1.000,-3,-81,0,0,,2.19,1.00,OF
63,Dee Brown,25,KCR,33,23,15,217.2,65,62,2,1,1,.985,-3,-15,-6,-33,,2.65,1.94,OF
64,Mark Buehrle,24,CHW,35,35,2,230.1,53,15,38,0,3,1.000,,,2,2,,2.07,1.51,P
65,Ryan Bukvich,25,KCR,9,0,0,10.1,4,0,4,0,0,1.000,,,1,19,,3.48,0.44,P
66,Jamie Burke,31,CHW,5,2,1,20.0,10,8,2,0,0,1.000,-1,-48,0,0,,4.50,2.00,C-1B
67,John Burkett,38,BOS,32,30,1,181.2,27,7,19,1,4,.963,,,2,2,,1.29,0.81,P
68,Morgan Burkhart,31,KCR,2,1,0,14.0,10,10,0,0,2,1.000,-1,-51,0,0,,6.43,5.00,1B
69,Ellis Burks,38,CLE,2,2,1,14.0,5,5,0,0,0,1.000,-1,-43,-2,-171,,3.21,2.50,OF
70,Eric Byrnes,27,OAK,117,108,85,958.1,219,212,5,2,1,.991,7,8,0,0,,2.04,1.85,OF
71,Mickey Callaway,28,TOT,23,7,0,60.2,14,8,5,1,1,.929,,,-1,-19,,1.93,0.57,P
