Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,45,4.86,0.685,162,1458,1151,13137.0,6259,4379,1776,104,172,0.983,12,1,,1,-1
Atlanta Braves,45,4.97,0.686,162,1458,1087,12972.0,6031,4324,1608,99,146,0.984,57,5,,-1,2
Chicago Cubs,46,5.15,0.698,162,1458,1115,12951.0,5903,4317,1480,106,122,0.982,5,0,,-1,-8
Cincinnati Reds,52,4.94,0.68,162,1458,1119,13011.0,6064,4337,1599,128,139,0.979,-31,-3,,-4,-10
Colorado Rockies,50,5.01,0.683,162,1458,1158,13026.0,6249,4342,1816,91,190,0.985,22,2,,2,5
Florida Marlins,40,4.77,0.683,162,1458,995,12900.0,6014,4300,1588,126,166,0.979,-5,0,,-1,-14
Houston Astros,38,4.44,0.701,162,1458,1042,13218.0,6239,4406,1753,80,164,0.987,68,6,,5,0
Los Angeles Dodgers,50,4.64,0.681,162,1458,1049,13143.0,6292,4381,1796,115,174,0.982,-27,-3,,-3,-10
Milwaukee Brewers,49,5.14,0.685,162,1458,1179,12831.0,5976,4277,1582,117,126,0.98,-18,-2,,0,-2
New York Mets,49,4.51,0.701,162,1458,1173,13152.0,6126,4384,1638,104,131,0.983,42,4,,3,6
Philadelphia Phillies,44,5.01,0.681,162,1458,1096,13143.0,6170,4381,1685,104,153,0.983,-13,-1,,-1,-3
Pittsburgh Pirates,41,4.92,0.674,162,1458,1147,12915.0,6199,4305,1790,104,168,0.983,-37,-3,,-3,3
San Diego Padres,43,4.19,0.71,162,1458,1081,13173.0,6079,4391,1596,92,138,0.985,30,3,,3,3
San Francisco Giants,44,4.91,0.7,161,1449,1032,12867.0,5961,4289,1581,91,132,0.985,22,2,,3,11
St. Louis Cardinals,41,4.73,0.697,161,1449,1016,12867.0,6169,4289,1782,98,170,0.984,33,3,,5,12
Washington Nationals,57,5.38,0.689,162,1458,1118,12927.0,5941,4309,1501,131,123,0.978,-37,-3,,-4,-2
League Average,43,4.85,0.69,162,1457,1097,13015.0,6104,4338,1661,106,151,0.983,8,0,,0,0
,692,4.85,0.69,2590,23310,17558,208233.0,97672,69411,26571,1690,2414,0.983,123,1,,0,1
