Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b13,5-6,2,123,"5,(3-1) ..BB*BCB",R,BOS,Juan Centeno,Kyle Barraclough,-38%,33%,Walk; Hernandez Scores; Benintendi to 3B; Bogaerts to 2B
b13,5-6,1,123,"4,(1-2) .CC*BS",O,BOS,Rafael Devers,Wandy Peralta,27%,71%,Strikeout Swinging
t13,5-5,0,1--,"3,(2-0) B1BX",RO,SFG,Brandon Crawford,Andrew Cashner,22%,80%,Double to LF (Line Drive to Deep LF-CF); Pillar Scores; Crawford out at 3B
b13,5-6,1,12-,"3,(0-2) .CFX",,BOS,Xander Bogaerts,Burch Smith,-20%,45%,Single to RF (Line Drive to Deep CF-RF); Hernandez to 3B; Benintendi to 2B
b15,6-7,2,12-,"3,(2-0) *BBX",O,BOS,Brock Holt,Dereck Rodriguez,19%,100%,Lineout: 2B
