Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 4-5-6"
b2,0-0,0,---,"2,(0-1) CX",O,BOS,Hanley Ramirez,Dylan Bundy,2%,47%,Groundout: 3B-1B
b2,0-0,1,---,"9,(3-2) BCCBBFFFB",,BOS,Mitch Moreland,Dylan Bundy,-3%,45%,Walk
b2,0-0,1,1--,"2,(1-0) BX",O,BOS,Dustin Pedroia,Dylan Bundy,3%,48%,Groundout: 3B-2B/Forceout at 2B
b2,0-0,2,1--,"6,(1-2) C1SF1FBX",O,BOS,Jackie Bradley Jr.,Dylan Bundy,2%,50%,Foul Popfly: 1B (Behind Home)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Orioles 0, Red Sox 0."
"Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 8-9-1"
t3,0-0,0,---,"4,(1-2) CBCS",O,BAL,Ryan Flaherty,Rick Porcello,-3%,47%,Strikeout Swinging
t3,0-0,1,---,"4,(1-2) CBSX",O,BAL,Caleb Joseph,Rick Porcello,-2%,46%,Groundout: 3B-1B
t3,0-0,2,---,"6,(2-2) BCBFFX",O,BAL,Seth Smith,Rick Porcello,-1%,44%,Flyball: LF (LF-CF)
