Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Chris Sale, L (1-2)",8,8,3,2,0,10,0,1.19,31,109,82,41,24,17,12,8,5,0,66.0,,,0.195,0.97,0.14%,1.14,0.9
Heath Hembree,1,1,0,0,0,0,0,1.46,3,11,6,4,0,2,1,2,1,0,,2.0,1.0,0.013,0.35,0.01%,0.41,1.1
Team Totals,9,9,3,2,0,10,0,2.0,34,120,88,45,24,19,13,10,6,0,66.0,2.0,1.0,0.208,0.92,0.15%,1.08,2.0
