0,1,2
1.0,Alex Verdugo,LF
2.0,Rafael Devers,3B
3.0,J.D. Martinez,DH
4.0,Xander Bogaerts,SS
5.0,Kevin Pillar,RF
6.0,Kevin Plawecki,C
7.0,Jackie Bradley Jr.,CF
8.0,Bobby Dalbec,1B
9.0,Jose Peraza,2B
,Zack Godley,P
