Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"David Price, W (7-4)",6,5,2,2,3,6,0,4.0,24,86,56,29,9,18,9,6,2,0,57.0,,,0.157,1.1,0.10%,1.12,1.2
"Joe Kelly, H (12)",1,0,0,0,0,2,0,2.86,3,11,8,3,2,3,1,0,0,0,,0.0,0.0,0.074,0.95,0.04%,0.96,0.5
"Matt Barnes, H (15)",1,1,0,0,1,1,0,1.95,5,13,8,4,1,3,1,2,0,0,,0.0,0.0,0.078,1.8,0.05%,1.83,0.5
"Craig Kimbrel, S (20)",1,0,0,0,0,2,0,2.0,3,15,10,3,2,5,0,1,0,0,,0.0,0.0,0.078,1.0,0.05%,1.02,0.5
Team Totals,9,6,2,2,4,11,0,2.0,35,125,82,39,14,29,11,9,2,0,57.0,0.0,0.0,0.387,1.18,0.24%,1.2,2.8
