0,1,2
1.0,Mookie Betts,RF
2.0,Hanley Ramirez,DH
3.0,J.D. Martinez,LF
4.0,Mitch Moreland,1B
5.0,Xander Bogaerts,SS
6.0,Eduardo Nunez,3B
7.0,Jackie Bradley Jr.,CF
8.0,Christian Vazquez,C
9.0,Tzu-Wei Lin,2B
,Drew Pomeranz,P
