Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t1,0-0,0,---,"2,(0-1) FX",O,LAA,Ian Kinsler,David Price,2%,52%,Popfly: 2B (Deep 2B-1B)
t1,0-0,1,---,"3,(0-2) CSX",O,LAA,Mike Trout,David Price,2%,54%,Flyball: CF
t1,0-0,2,---,"2,(0-1) FX",O,LAA,Justin Upton,David Price,1%,55%,Flyball: RF (Deep RF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Angels 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Angels 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Angels 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Angels' John Lamb facing 1-2-3"
b1,0-0,0,---,"1,(0-0) X",R,BOS,Mookie Betts,John Lamb,10%,64%,Home Run (Fly Ball to Deep CF-RF)
b1,1-0,0,---,"3,(1-1) BFX",O,BOS,Andrew Benintendi,John Lamb,-2%,62%,Lineout: RF (Deep RF)
b1,1-0,1,---,"1,(0-0) X",,BOS,J.D. Martinez,John Lamb,3%,66%,Double to RF (Line Drive to Deep CF-RF)
b1,1-0,1,-2-,"3,(1-1) BCX",O,BOS,Xander Bogaerts,John Lamb,-3%,63%,Flyball: RF (Short CF)
