Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Michael Wacha, L (0-1)",5.0,8,5,4,2,6,0,7.2,24,90,65,38,15,12,8,8,5,0,37.0,,,-0.164,0.9,-0.10%,0.94,-2.2
Chris Mazza,2.2,7,6,6,1,2,1,20.25,15,61,36,22,5,9,3,9,2,0,,0.0,0.0,-0.024,0.07,-0.01%,0.07,-4.4
Jeffrey Springs,0.1,1,0,0,0,0,0,0.0,2,7,4,3,1,0,0,2,1,0,,0.0,0.0,0.0,0.0,0.00%,0.0,0.1
Team Totals,8.0,16,11,10,3,8,1,11.25,41,158,105,63,21,21,11,19,8,0,37.0,0.0,0.0,-0.188,0.56,-0.12%,0.59,-6.5
