Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Nick Pivetta facing 1-2-3"
t1,0-0,0,---,"6,(3-2) BFBBSX",O,TBR,Yoshi Tsutsugo,Nick Pivetta,2%,52%,Groundout: SS-1B
t1,0-0,1,---,"5,(2-2) BSCBX",O,TBR,Austin Meadows,Nick Pivetta,2%,54%,Groundout: 2B-1B (Deep 2B)
t1,0-0,2,---,"8,(3-2) BBCBCFFB",,TBR,Randy Arozarena,Nick Pivetta,-1%,53%,Walk
t1,0-0,2,1--,"4,(3-0) BBBB",,TBR,Brandon Lowe,Nick Pivetta,-2%,51%,Walk; Arozarena to 2B
t1,0-0,2,12-,"6,(2-2) BBFCF*S",O,TBR,Manuel Margot,Nick Pivetta,4%,55%,Strikeout Swinging; Margot out at 1B/C-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 2 LOB. Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 2 LOB. Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 2 LOB. Rays 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Michael Wacha facing 1-2-3"
b1,0-0,0,---,"4,(1-2) BFCS",O,BOS,Enrique Hernandez,Michael Wacha,-2%,53%,Strikeout Swinging
b1,0-0,1,---,"5,(1-2) CFFBS",O,BOS,Alex Verdugo,Michael Wacha,-2%,51%,Strikeout Swinging
b1,0-0,2,---,"3,(0-2) SFX",,BOS,J.D. Martinez,Michael Wacha,1%,52%,Single to CF (Line Drive to Deep CF)
b1,0-0,2,1--,"2,(0-1) CX",,BOS,Xander Bogaerts,Michael Wacha,2%,54%,Single to LF (Line Drive to LF-CF); Martinez to 2B
b1,0-0,2,12-,"3,(0-2) FSS",O,BOS,Rafael Devers,Michael Wacha,-4%,50%,Strikeout Swinging
