0,1,2
1.0,Chris Owings,2B
2.0,Rafael Devers,3B
3.0,Xander Bogaerts,SS
4.0,J.D. Martinez,RF
5.0,Andrew Benintendi,LF
6.0,Sam Travis,DH
7.0,Christian Vazquez,C
8.0,Michael Chavis,1B
9.0,Jackie Bradley Jr.,CF
,Andrew Cashner,P
