Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Gerrit Cole,5,6,0,0,1,7,0,3.56,22,99,62,37,13,12,6,8,6,0,61.0,,,0.299,1.19,0.21%,1.39,2.9
Hector Rondon,1,2,1,1,0,2,0,2.51,5,24,16,8,5,3,2,1,1,0,,0.0,0.0,-0.096,1.61,-0.07%,1.89,-0.4
"Will Harris, W (1-0)",1,0,0,0,0,2,0,1.23,3,8,7,2,2,3,0,1,0,0,,0.0,0.0,0.051,0.64,0.04%,0.75,0.6
"Ryan Pressly, H (9)",1,0,0,0,0,1,0,0.0,3,11,8,4,1,3,1,1,0,0,,0.0,0.0,0.103,1.28,0.07%,1.5,0.6
"Roberto Osuna, S (11)",1,1,0,0,1,0,0,0.47,5,16,11,9,1,1,2,2,2,0,,0.0,0.0,0.11,2.36,0.08%,2.77,0.6
Team Totals,9,9,1,1,2,12,0,1.0,38,158,104,60,22,22,11,13,9,0,61.0,0.0,0.0,0.467,1.36,0.33%,1.6,4.3
