Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
"Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 4-5-6"
b2,0-1,0,---,"4,(1-2) BCSX",O,BOS,Mitch Moreland,Aaron Nola,-3%,42%,Flyball: CF (LF-CF)
b2,0-1,1,---,"1,(0-0) X",O,BOS,Xander Bogaerts,Aaron Nola,-2%,40%,Groundout: 2B-1B
b2,0-1,2,---,"5,(2-2) CBFBX",O,BOS,Jackie Bradley Jr.,Aaron Nola,-1%,39%,Groundout: 2B-1B (Deep 2B-1B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0."
"Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 1-2-3"
t3,1-0,0,---,"7,(3-2) CBFFBBS",O,PHI,Cesar Hernandez,David Price,2%,41%,Strikeout Swinging
t3,1-0,1,---,"1,(0-0) X",,PHI,Rhys Hoskins,David Price,-4%,37%,Double to LF (Line Drive to Deep LF)
t3,1-0,1,-2-,"4,(1-2) FBFX",,PHI,Odubel Herrera,David Price,-5%,33%,Single to P (Ground Ball to Front of Home); Hoskins to 3B
t3,1-0,1,1-3,"2,(1-0) BX",OO,PHI,Carlos Santana,David Price,11%,44%,Double Play: Groundout: 3B-C-SS/Forceout at 2B (Weak 3B); Hoskins out at Hm/SS-3B
