Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3"
"Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 6-7-8"
b2,0-0,0,---,"2,(1-0) BX",R,BOS,Michael Chavis,Kyle Freeland,-10%,35%,Home Run (Fly Ball to Deep LF Line)
,,,,,,,,,Home run Reviewed by Umpires: Original call upheld upon review.,Home run Reviewed by Umpires: Original call upheld upon review.,Home run Reviewed by Umpires: Original call upheld upon review.
b2,1-0,0,---,"6,(2-2) BSSFBT",O,BOS,Steve Pearce,Kyle Freeland,2%,37%,Strikeout Swinging
b2,1-0,1,---,"2,(1-0) BX",,BOS,Eduardo Nunez,Kyle Freeland,-4%,33%,Double to LF (Ground Ball)
b2,1-0,1,-2-,"5,(2-2) BFBSX",O,BOS,Sandy Leon,Kyle Freeland,3%,37%,Lineout: CF (Deep CF)
b2,1-0,2,-2-,"3,(0-2) CFS",O,BOS,Andrew Benintendi,Kyle Freeland,3%,40%,Strikeout Swinging
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Rockies 0, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Rockies 0, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Rockies 0, Red Sox 1."
"Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9","Top of the 3rd, Rockies Batting, Behind 0-1, Red Sox' Chris Sale facing 7-8-9"
t3,0-1,0,---,"4,(2-1) BBFX",O,COL,David Dahl,Chris Sale,-3%,37%,Groundout: 2B-1B (2B-1B)
