Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Sonny Gray, L (1-1)",3,7,6,6,2,3,0,6.92,21,68,43,23,5,15,8,7,1,0,22.0,,,-0.314,0.93,-0.21%,1.03,-4.8
Domingo German,3,1,0,0,0,3,0,4.76,10,39,27,15,6,6,3,4,1,0,,1.0,0.0,0.019,0.08,0.01%,0.09,2.0
Tommy Kahnle,1,0,0,0,1,2,0,6.14,4,19,11,4,5,2,0,1,1,0,,0.0,0.0,0.002,0.03,0.00%,0.03,0.5
Adam Warren,1,0,0,0,0,1,0,3.86,3,13,8,4,1,3,2,0,0,0,,0.0,0.0,0.001,0.01,0.00%,0.01,0.5
Team Totals,8,8,6,6,3,9,0,6.75,38,139,89,46,17,26,13,12,3,0,22.0,1.0,0.0,-0.292,0.55,-0.20%,0.61,-1.7
