Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Doug Fister, L (0-4)",4.1,6,6,2,4,3,1,6.23,24,100,53,31,6,16,11,6,2,0,34.0,,,-0.403,1.19,-0.37%,1.83,-3.8
Fernando Abad,1.0,0,1,1,2,2,0,2.9,5,20,8,1,3,4,1,0,0,0,,1.0,0.0,0.014,0.61,0.01%,0.94,0.2
Ben Taylor,0.2,1,0,0,0,1,0,5.87,3,12,9,4,1,4,0,2,1,0,,2.0,1.0,-0.021,0.85,-0.02%,1.31,-0.0
Kyle Martin,1.0,0,0,0,1,1,0,0.0,4,15,7,3,2,2,1,1,0,0,,0.0,0.0,0.015,0.19,0.01%,0.3,0.6
Brandon Workman,2.0,2,1,1,0,3,1,3.18,8,26,22,11,7,4,0,5,1,0,,0.0,0.0,-0.013,0.53,-0.01%,0.82,0.1
Team Totals,9.0,9,8,4,7,10,2,4.0,44,173,99,50,19,30,13,14,4,0,34.0,3.0,1.0,-0.408,0.88,-0.38%,1.36,-3.0
