0,1,2
1.0,Mark Canha,LF
2.0,Jed Lowrie,2B
3.0,Ramon Laureano,CF
4.0,Matt Olson,1B
5.0,Matt Chapman,3B
6.0,Stephen Piscotty,RF
7.0,Sean Murphy,C
8.0,Mitch Moreland,DH
9.0,Elvis Andrus,SS
,James Kaprielian,P
