0,1,2
1.0,Teoscar Hernandez,LF
2.0,Josh Donaldson,3B
3.0,Justin Smoak,1B
4.0,Jose Bautista,RF
5.0,Kendrys Morales,DH
6.0,Kevin Pillar,CF
7.0,Russell Martin,C
8.0,Darwin Barney,2B
9.0,Richard Urena,SS
,J.A. Happ,P
