Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Enrique Hernandez CF,3.0,2.0,1.0,1.0,2.0,0.0,5.0,0.234,0.291,0.421,0.711,17.0,6.0,0.035,0.41,0.054,-0.019%,0.03%,0.51,1.2,0.0,0.0,HR
Alex Verdugo LF,4.0,1.0,2.0,1.0,1.0,0.0,5.0,0.314,0.379,0.52,0.899,22.0,13.0,0.145,0.54,0.16,-0.015%,0.11%,0.66,2.2,0.0,0.0,HR
J.D. Martinez DH,5.0,3.0,2.0,1.0,0.0,1.0,5.0,0.349,0.43,0.698,1.128,19.0,10.0,-0.003,0.52,0.029,-0.032%,-0.00%,0.64,-0.6,,,
Xander Bogaerts SS,5.0,2.0,2.0,2.0,0.0,1.0,5.0,0.351,0.385,0.604,0.988,19.0,15.0,0.098,0.51,0.121,-0.023%,0.07%,0.64,1.3,1.0,2.0,HR
Christian Vazquez C,5.0,1.0,3.0,2.0,0.0,1.0,5.0,0.269,0.303,0.387,0.69,20.0,12.0,0.178,0.51,0.183,-0.005%,0.13%,0.62,2.1,13.0,1.0,2B
Marwin Gonzalez 3B,4.0,0.0,1.0,1.0,0.0,0.0,4.0,0.192,0.312,0.282,0.594,15.0,8.0,0.013,0.54,0.045,-0.032%,0.01%,0.67,-0.3,0.0,3.0,GDP
Christian Arroyo 2B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.284,0.333,0.388,0.721,17.0,13.0,-0.042,0.43,0.0,-0.042%,-0.03%,0.53,-1.3,2.0,2.0,
Hunter Renfroe RF,4.0,2.0,3.0,2.0,0.0,0.0,4.0,0.222,0.275,0.389,0.664,7.0,7.0,0.113,0.38,0.118,-0.005%,0.08%,0.47,3.1,2.0,0.0,"HR,2B"
Bobby Dalbec 1B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.19,0.247,0.304,0.551,14.0,10.0,-0.036,0.33,0.0,-0.036%,-0.03%,0.41,-1.2,9.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Nick Pivetta P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Austin Brice P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Andriese P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Adam Ottavino P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Darwinzon Hernandez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,38.0,11.0,14.0,10.0,3.0,6.0,41.0,0.368,0.415,0.737,1.151,150.0,94.0,0.501,0.47,0.71,-0.209%,0.38%,0.58,6.5,27.0,8.0,
