Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Eduardo Rodriguez, W (2-2)",6,2,1,1,3,7,0,5.88,23,90,54,26,16,12,4,9,5,0,68.0,,,0.285,1.08,0.11%,0.73,2.5
"Brandon Workman, H (4)",1,0,0,0,1,3,0,2.38,4,19,11,3,4,4,0,0,0,0,,0.0,0.0,0.055,0.94,0.02%,0.63,0.6
"Matt Barnes, H (4)",1,2,0,0,1,3,0,2.61,6,28,18,8,3,7,1,1,1,0,,0.0,0.0,0.051,1.25,0.02%,0.84,0.6
Tyler Thornburg,1,2,3,3,2,1,0,7.59,7,21,12,7,1,4,1,3,1,0,,0.0,0.0,0.0,0.0,0.00%,0.0,-2.4
Team Totals,9,6,4,4,7,14,0,4.0,40,158,95,44,24,27,6,13,7,0,68.0,0.0,0.0,0.391,0.91,0.16%,0.61,1.3
