Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Drew Smyly,3.2,5,2,2,3,4,1,6.99,18,84,44,25,8,11,5,6,2,0,44.0,,,-0.063,0.93,-0.04%,0.98,-0.5
"Jared Hughes, W (4-5)",1.1,0,0,0,1,0,0,3.98,4,15,7,5,0,2,3,0,0,0,,3.0,0.0,0.131,1.5,0.08%,1.59,1.4
"Ranger Suarez, H (3)",1.1,1,0,0,0,2,0,3.73,5,21,14,7,2,5,2,1,1,0,,0.0,0.0,0.136,1.31,0.09%,1.39,0.9
"Mike Morin, H (5)",0.2,1,0,0,0,1,0,3.13,4,11,8,6,2,0,2,1,0,0,,0.0,0.0,-0.032,1.27,-0.02%,1.35,-0.1
"Jose Alvarez, H (10)",1.0,1,0,0,0,2,0,3.0,4,16,13,7,4,2,1,1,1,0,,1.0,0.0,0.183,2.86,0.12%,3.04,1.0
"Hector Neris, S (23)",1.0,0,0,0,0,1,0,3.19,3,13,8,3,3,2,1,1,0,0,,0.0,0.0,0.052,0.64,0.03%,0.68,0.6
Team Totals,9.0,8,2,2,4,10,1,2.0,38,160,94,53,19,22,14,10,4,0,44.0,4.0,0.0,0.407,1.24,0.26%,1.32,3.3
