Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3"
"Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 8-9-1"
b2,1-0,0,---,"2,(0-1) CX",O,BOS,Sandy Leon,Mike Leake,-2%,63%,Groundout: 1B unassisted
b2,1-0,1,---,"1,(0-0) H",,BOS,Jackie Bradley Jr.,Mike Leake,2%,65%,Hit By Pitch
b2,1-0,1,1--,"3,(1-1) CB1X",O,BOS,Eduardo Nunez,Mike Leake,-2%,64%,Groundout: 1B unassisted; Bradley to 2B
b2,1-0,2,-2-,"7,(3-2) CBBFFBT",O,BOS,Mookie Betts,Mike Leake,-3%,61%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Cardinals 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 1 LOB. Cardinals 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 1 LOB. Cardinals 0, Red Sox 1."
"Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9","Top of the 3rd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 7-8-9"
t3,0-1,0,---,"5,(1-2) BCFFS",O,STL,Kolten Wong,Rick Porcello,3%,63%,Strikeout Swinging
t3,0-1,1,---,"3,(1-1) BCX",O,STL,Jose Martinez,Rick Porcello,2%,65%,Lineout: LF (Deep LF)
t3,0-1,2,---,"6,(3-2) CBFBBB",,STL,Randal Grichuk,Rick Porcello,-1%,64%,Walk
t3,0-1,2,1--,"5,(3-1) FBBBB",,STL,Matt Carpenter,Rick Porcello,-2%,62%,Walk; Grichuk to 2B
t3,0-1,2,12-,"5,(1-2) CFF*BX",O,STL,Tommy Pham,Rick Porcello,5%,67%,Groundout: 3B unassisted/Forceout at 3B; Carpenter to 2B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 2 LOB. Cardinals 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 2 LOB. Cardinals 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 2 LOB. Cardinals 0, Red Sox 1."
"Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 3-4-5"
b3,1-0,0,---,"2,(0-1) CX",O,BOS,Andrew Benintendi,Mike Leake,-2%,64%,Lineout: SS
b3,1-0,1,---,"6,(3-2) CBBFBB",,BOS,Hanley Ramirez,Mike Leake,2%,67%,Walk
b3,1-0,1,1--,"1,(0-0) X",OO,BOS,Rafael Devers,Mike Leake,-5%,62%,Ground Ball Double Play: 2B-SS-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 1."
"Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 4th, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 3-4-5"
t4,0-1,0,---,"5,(2-2) SCBBX",,STL,Paul DeJong,Rick Porcello,-5%,57%,Single to LF (Ground Ball thru SS-3B Hole)
t4,0-1,0,1--,"5,(2-2) CCBBX",,STL,Dexter Fowler,Rick Porcello,-7%,50%,Single to RF (Ground Ball thru 2B-1B); DeJong to 2B
t4,0-1,0,12-,"1,(0-0) X",OOO,STL,Yadier Molina,Rick Porcello,18%,68%,Ground Ball Triple Play: 3B-2B-1B (Weak 3B)
,,,,,,,,,"0 runs, 2 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 1.","0 runs, 2 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 1.","0 runs, 2 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 1."
"Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 1-0, Cardinals' Mike Leake facing 6-7-8"
b4,1-0,0,---,"6,(2-2) CSBBFX",O,BOS,Xander Bogaerts,Mike Leake,-2%,66%,Groundout: SS-1B (SS-2B)
b4,1-0,1,---,"3,(0-2) FCS",O,BOS,Mitch Moreland,Mike Leake,-2%,64%,Strikeout Swinging
b4,1-0,2,---,"1,(0-0) X",O,BOS,Sandy Leon,Mike Leake,-1%,63%,Lineout: RF (Deep RF Line)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 1."
