Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Clayton Kershaw, L (2-2)",4.0,7,5,5,3,5,0,3.91,20,30.0,,,-0.229,1.03,-6.67%,53.91,-1.9
Ryan Madson,1.0,1,0,0,1,1,0,1.23,5,,2.0,2.0,-0.094,2.0,-2.75%,104.54,-0.5
Julio Urías,1.0,1,1,1,0,2,0,4.15,4,,0.0,0.0,-0.023,0.5,-0.66%,25.98,-0.1
Pedro Báez,0.2,0,1,1,1,2,0,1.23,3,,1.0,0.0,0.062,1.2,1.80%,62.5,0.7
Alex Wood,1.1,2,1,1,0,2,1,4.76,6,,2.0,2.0,-0.18,0.3,-5.26%,15.58,-2.0
Team Totals,8.0,11,8,8,5,12,1,9.0,38,30.0,5.0,4.0,-0.464,1.03,-13.54%,53.62,-3.7
