Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Chris Sale,4.0,5,3,3,2,7,1,4.4,19,45.0,,,-0.032,1.02,-0.92%,53.27,-0.3
"Matt Barnes, W (2-0)",1.0,1,0,0,0,1,0,1.23,4,,1.0,1.0,-0.016,2.29,-0.47%,119.39,-0.1
"Joe Kelly, H (1)",1.0,0,0,0,0,2,0,1.42,3,,0.0,0.0,0.068,0.87,1.98%,45.61,0.5
"Ryan Brasier, H (5)",0.2,2,1,1,1,0,0,1.17,5,,0.0,0.0,-0.109,2.35,-3.19%,122.84,-0.9
"Eduardo Rodriguez, H (1)",0.1,0,0,0,0,0,0,6.75,1,,2.0,0.0,0.084,3.21,2.46%,167.65,0.5
Nathan Eovaldi,1.0,0,0,0,0,0,0,1.76,3,,0.0,0.0,0.025,0.32,0.74%,16.71,0.5
Craig Kimbrel,1.0,0,0,0,0,2,0,6.14,3,,0.0,0.0,0.016,0.2,0.47%,10.44,0.5
Team Totals,9.0,8,4,4,3,12,1,4.0,38,45.0,3.0,1.0,0.036,1.28,1.07%,66.9,0.8
