0,1,2
1.0,Enrique Hernandez,CF
2.0,Rafael Devers,3B
3.0,J.D. Martinez,DH
4.0,Xander Bogaerts,SS
5.0,Christian Vazquez,C
6.0,Marwin Gonzalez,1B
7.0,Christian Arroyo,2B
8.0,Hunter Renfroe,RF
9.0,Franchy Cordero,LF
,Martin Perez,P
