Unnamed: 0,Unnamed: 1,1,2,3,4,5,6,7,8,9,10,R,H,E
via Sports Logos.net About logos,Detroit Tigers,0,0,0,1,0,2,0,0,0,3,6,11,0
via Sports Logos.net About logos,Boston Red Sox,0,1,0,0,0,0,2,0,0,2,5,9,1
WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1),WP: Gregory Soto (2-1) • LP: Garrett Whitlock (0-1) • SV: Michael Fulmer (1)
