Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b3,3-3,2,1-3,"6,(3-2) B1BBFFX",RR,BOS,Rafael Devers,Jordan Zimmermann,18%,74%,Double to LF (Line Drive to Deep LF); Moreland Scores; Bogaerts Scores
b2,0-0,2,1--,"2,(0-1) FX",RR,BOS,Michael Chavis,Jordan Zimmermann,18%,71%,Home Run (Fly Ball to Deep LF Line); Bogaerts Scores
t3,1-2,0,1--,"2,(1-0) BX",RR,DET,Nick Castellanos,Rick Porcello,-17%,40%,Home Run (Line Drive to Deep RF Line); Candelario Scores
t3,0-2,0,---,"2,(0-1) CX",,DET,JaCoby Jones,Rick Porcello,-9%,61%,Double to CF (Fly Ball to Deep CF); Jones to 3B/Adv on E8
b4,5-3,2,-2-,"7,(3-2) *BBCFF*BX",R,BOS,Mookie Betts,Buck Farmer,8%,84%,Double to CF (Line Drive to Deep CF-RF); Benintendi Scores
