Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Brian Johnson facing 1-2-3"
t1,0-0,0,---,"5,(1-2) CSBFC",O,TOR,Randal Grichuk,Brian Johnson,2%,52%,Strikeout Looking
t1,0-0,1,---,"5,(1-2) FSBFX",O,TOR,Yangervis Solarte,Brian Johnson,2%,54%,Groundout: SS-1B
t1,0-0,2,---,"4,(3-0) BBBB",,TOR,Teoscar Hernandez,Brian Johnson,-1%,53%,Walk
t1,0-0,2,1--,"6,(2-2) CFBBFS",O,TOR,Justin Smoak,Brian Johnson,2%,55%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Blue Jays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Blue Jays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Blue Jays 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Marcus Stroman facing 1-2-3"
b1,0-0,0,---,"4,(1-2) FBFX",O,BOS,Mookie Betts,Marcus Stroman,-2%,53%,Groundout: 3B-1B
b1,0-0,1,---,"3,(1-1) CBX",R,BOS,Xander Bogaerts,Marcus Stroman,10%,62%,Home Run (Line Drive to Deep LF)
b1,1-0,1,---,"7,(3-2) BBSSBFB",,BOS,J.D. Martinez,Marcus Stroman,2%,65%,Walk
b1,1-0,1,1--,"5,(2-2) BBFCX",,BOS,Mitch Moreland,Marcus Stroman,3%,68%,Reached on E4 (Ground Ball); Martinez to 2B
b1,1-0,1,12-,"6,(3-2) CC*BBBX",O,BOS,Steve Pearce,Marcus Stroman,-3%,64%,Groundout: P-2B/Forceout at 2B (Front of Home); Martinez to 3B
b1,1-0,2,1-3,"2,(0-1) CX",R,BOS,Brock Holt,Marcus Stroman,8%,72%,Single to CF (Line Drive); Martinez Scores/unER; Pearce to 2B
b1,2-0,2,12-,"4,(0-2) CFFX",O,BOS,Eduardo Nunez,Marcus Stroman,-3%,69%,Groundout: SS unassisted/Forceout at 2B (SS-2B)
,,,,,,,,,"2 runs, 2 hits, 1 error, 2 LOB. Blue Jays 0, Red Sox 2.","2 runs, 2 hits, 1 error, 2 LOB. Blue Jays 0, Red Sox 2.","2 runs, 2 hits, 1 error, 2 LOB. Blue Jays 0, Red Sox 2."
"Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7","Top of the 2nd, Blue Jays Batting, Behind 0-2, Red Sox' Brian Johnson facing 5-6-7"
t2,0-2,0,---,"7,(3-2) CBFBBFB",,TOR,Kendrys Morales,Brian Johnson,-4%,66%,Walk
