Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Kevin Gausman, L (3-3)",4.2,8,6,6,2,6,2,3.88,23,101,59,32,8,19,8,7,1,0,28.0,,,-0.2,0.73,-0.01%,0.08,-3.5
Donnie Hart,1.0,1,0,0,0,0,0,1.93,4,12,9,6,1,2,2,2,1,0,,0.0,0.0,0.003,0.05,0.00%,0.01,0.4
Miguel Castro,1.1,0,0,0,2,1,0,3.38,6,25,11,4,2,5,1,2,0,0,,1.0,0.0,0.003,0.06,0.00%,0.01,0.8
Pedro Araujo,1.0,1,0,0,0,0,0,6.55,4,15,10,9,0,1,2,2,1,0,,0.0,0.0,0.001,0.01,0.00%,0.0,0.5
Team Totals,8.0,10,6,6,4,7,2,6.75,37,153,89,51,11,27,13,13,3,0,28.0,1.0,0.0,-0.193,0.49,-0.01%,0.05,-1.7
