Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Chris Sale,6.0,3,0,0,2,10,0,2.04,24,100,69,32,14,23,7,4,2,0,74.0,,,0.355,1.09,0.13%,0.67,3.2
"Ryan Brasier, H (2)",1.0,2,1,1,0,0,0,1.0,5,16,11,7,1,3,5,0,0,0,,0.0,0.0,-0.025,2.21,-0.01%,1.35,-0.5
"Matt Barnes, H (21)",0.2,0,0,0,0,1,0,2.4,2,10,7,4,1,2,1,0,0,0,,0.0,0.0,0.097,1.88,0.04%,1.16,0.4
"Craig Kimbrel, BS (3)",1.1,1,2,2,3,0,0,2.25,8,33,17,11,0,6,1,4,2,0,,0.0,0.0,-0.593,2.82,-0.22%,1.73,-1.4
"Tyler Thornburg, W (1-0)",1.0,0,0,0,0,1,0,6.75,3,10,8,3,1,4,1,1,0,0,,0.0,0.0,0.144,1.85,0.05%,1.13,0.5
Team Totals,10.0,6,3,3,5,12,0,2.7,42,169,112,57,17,38,15,9,4,0,74.0,0.0,0.0,-0.022,1.66,-0.01%,1.02,2.3
