Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Charles Brewer","ARI","A,A+,AA,AAA,R","21-28",747,0.32061762,1.34391534,0.19746377,0.46014493,0.3423913,0.22619048,0.09259259,0.40096831,0.24823944,0.35079225,0.12071506,3340,6841,10181,"9155"
"Lester Oliveros","DET/FLA","A-,A+,AA,AAA,R","18-27",413.2,0.30980392,0.9870801,0.15214994,0.42116869,0.42668137,0.2248062,0.05684755,0.36217949,0.23397436,0.40384615,0.19664759,1528,3364,4892,"9167"
"Alan Johnson","COL","A,A+,AA,AAA","22-27",934.1,0.3316129,1.44328704,0.18146568,0.48352074,0.33501357,0.18055556,0.08912037,0.47142323,0.22674636,0.30183041,0.08483653,3753,6891,10644,"917"
"Casey Kelly","BOS","A,A+,AA,AAA,R","19-28",799,0.31533742,1.46473552,0.19564324,0.47801069,0.32634607,0.16120907,0.08942065,0.44187898,0.25676752,0.3013535,0.10753583,3628,7187,10815,"9174"
"Kyle Lobstein","TBR","A,A-,A+,AA,AAA","19-31",1173.2,0.31304348,1.26672039,0.17820625,0.45924628,0.36254747,0.18775181,0.07010475,0.42060572,0.24738183,0.33201245,0.12886115,5605,10420,16025,"9178"
"Zach Clark","BAL","A,A-,A+,AA,AAA,R","22-29",869.1,0.3026738,2.20543807,0.15525478,0.58121019,0.26353503,0.17069486,0.08459215,0.45903522,0.22166922,0.31929556,0.10979813,2547,5577,8124,"9189"
"Vic Black","PIT","A,A-,A+,AA,AAA","21-29",269.1,0.29395218,1.34567901,0.17391304,0.47391304,0.35217391,0.20576132,0.04938272,0.41168289,0.21418637,0.37413074,0.14477947,1613,2400,4013,"9195"
"Tim Hudson","ATL","A,A+,AAA","33-39",43.2,0.33552632,2.75757576,0.16216216,0.61486486,0.22297297,0.18181818,0,0.47712418,0.26797386,0.25490196,0.10309278,192,390,582,"921"
"Edwar Cabrera","COL","A,A-,A+,AA,AAA,R","20-28",737,0.30737279,1.27142857,0.17359667,0.46257796,0.36382536,0.23,0.09857143,0.49223058,0.25162907,0.25614035,0.21728424,2614,5914,8528,"9211"
"Kenshin Kawakami","ATL","AA,AAA,R","35-36",64.2,0.37313433,0.7816092,0.26190476,0.32380952,0.41428571,0.14942529,0.16091954,0.46046512,0.26046512,0.27906977,0.11058601,377,681,1058,"9225"
"Alex Wilson","BOS","A-,A+,AA,AAA","22-32",496,0.29483501,1.13043478,0.19384835,0.42775393,0.37839771,0.20793951,0.09073724,0.41360167,0.23664122,0.34975711,0.16204308,2009,4119,6128,"9239"
"Simon Castro","SDP","A,A-,AA,AAA,R","18-30",924.1,0.31163859,1.12642487,0.17157852,0.4388373,0.38958417,0.21658031,0.07668394,0.48341787,0.24151385,0.27506828,0.14737562,3856,7842,11698,"9243"
"David Carpenter","LAA","A,A+,AA,AAA,R","21-27",320.2,0.28354726,1.7734375,0.1507177,0.5430622,0.3062201,0.2421875,0.0546875,0.47761194,0.22732491,0.29506315,0.15316818,1482,2716,4198,"9244"
"Blake Lalli","CHC","A,A+,AA,AAA","24-33",18.1,0.25490196,0.7826087,0.22641509,0.33962264,0.43396226,0.34782609,0.13043478,0.55555556,0.24074074,0.2037037,0.14150943,74,138,212,"9246"
"Chad Beck","ARI","A,A-,A+,AA,AAA,R","21-28",655.1,0.31103345,0.9764268,0.15356004,0.41817216,0.4282678,0.21091811,0.06203474,0.41757106,0.25064599,0.33178295,0.19982175,1517,4093,5610,"9258"
"Ryan Dennick","KCR","A,A+,AA,AAA,R","22-28",476.2,0.3051676,1.05516014,0.17793594,0.42206406,0.4,0.21708185,0.0569395,0.44413982,0.24331734,0.31254284,0.13811599,1975,3991,5966,"9261"
"David Herndon","LAA","A,A+,AA,AAA,R","20-28",446.1,0.31532748,2.12647059,0.1378751,0.5863747,0.2757502,0.16470588,0.09117647,0.46431373,0.18745098,0.34823529,0.15108359,733,2497,3230,"9264"
"Daniel Corcino","CIN","A,A+,AA,AAA,R","17-28",1012,0.28481013,0.90008326,0.19647887,0.3806338,0.42288732,0.23397169,0.08742714,0.45006793,0.25441576,0.2955163,0.13776043,5273,9078,14351,"9266"
