Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Kerry Ligtenberg","CHC","AAA","35-35",58,0.29946524,,,,,,,,,,,,,,"100"
"Tavo Alvarez","MEX","AAA","34-34",53,0.33333333,,,,,,,,,,,,,,"1000200"
"John Barnes","BOS","A,A+,AA,AAA,R","30-31",187.1,0.26061776,1.52040816,0.09191176,0.54779412,0.36029412,0.20408163,0.12244898,0.4519573,0.23843416,0.30960854,0.19395018,484,640,1124,"1000567"
"Matt Blank","SDP","AA,AAA","30-30",80.2,0.30980392,,,,,,,,,,,,,,"1001053"
"Steve Bourgeois","MEX","AAA","33-34",142.2,0.33481153,2.5,0.08196721,0.6557377,0.26229508,0.1875,0.125,0.64516129,0.14516129,0.20967742,0.09698997,136,163,299,"1001237"
"Brad Clontz","FLA","AAA","35-35",58,0.31952663,,,,,,,,,,,,,,"1002360"
"Lance Davis","DET","A+,AA,AAA","29-29",108.2,0.32625995,,,,,,,,,,,,,,"1003065"
"Eddie Gaillard","FLA","AAA","35-35",25.1,0.32467532,,,,,,,,,,,,,,"1004431"
"Taylor Thompson","CHW","A,A+,AA,AAA,R","22-28",296,0.28589421,1.19736842,0.1313394,0.473342,0.3953186,0.23355263,0.03618421,0.43656716,0.25124378,0.31218905,0.19500403,1248,2475,3723,"10019"
"Mike Minor","ATL","A,AA,AAA","21-34",317.1,0.29542645,1.01501502,0.1797066,0.41320293,0.40709046,0.21921922,0.12012012,0.43042453,0.25589623,0.31367925,0.12331839,1692,3214,4906,"10021"
"Francisco Cordova","MEX","AAA","34-39",392,0.32024169,1.28169014,0.16235781,0.4705274,0.36711479,0.1971831,0.06760563,0.45619335,0.23363545,0.3101712,0.07493382,2032,2879,4911,"1002623"
"Christian Bethancourt","SDP","AAA","25-29",43.2,0.29452055,0.828125,0.23026316,0.34868421,0.42105263,0.203125,0.125,0.42207792,0.24025974,0.33766234,0.07524272,364,460,824,"10028"
"Mike Garcia","CHC","AAA","38-38",37,0.33333333,,,,,,,,,,,,,,"1004507"
"Denny Harriger","MEX","AAA","36-36",11.2,0.46808511,,,,,,,,,,,,,,"1005409"
"Junior Herndon","KCR","AA","27-27",160,0.32472325,,,,,,,,,,,,,,"1005716"
"Patrick Schuster","ARI","A,A+,AA,AAA,R","18-26",504.2,0.29880197,1.56732892,0.16869192,0.50750536,0.32380272,0.18984547,0.06622517,0.42501728,0.25431928,0.32066344,0.16255181,1819,3730,5549,"10029"
"Narciso Elvira","MEX","AAA","38-41",93.2,0.32154341,1.6,0.23529412,0.47058824,0.29411765,0,0,0.38888889,0.38888889,0.22222222,0.05617978,33,56,89,"1003760"
"Horacio Estrada","MEX","AAA","32-33",90,0.31879195,1.43434343,0.19127517,0.47651007,0.33221477,0.17171717,0.08080808,0.46405229,0.23202614,0.30392157,0.0664311,532,883,1415,"1003843"
"Keyvius Sampson","SDP","A,A-,AA,AAA,R","18-30",773,0.28726021,1.05438813,0.18489456,0.41834232,0.39676312,0.19901112,0.09147095,0.40380952,0.25190476,0.34428571,0.13431199,4460,7393,11853,"10039"
"Kevin Tolar","MEX","AAA","35-35",16.2,0.42857143,,,,,,,,,,,,,,"1009"
"Angel Moreno","MEX","AAA","51-51",18,0.39705882,,,,,,,,,,,,,,"1009163"
"Brian O'Connor","ATL","AAA","29-29",148.2,0.3095723,,,,,,,,,,,,,,"1009709"
"Ashur Tolliver","BAL","A,A-,A+,AA,AAA,R","21-29",327.2,0.31195652,1.10481586,0.18441273,0.42810099,0.38748628,0.21813031,0.05949008,0.37206823,0.24307036,0.38486141,0.16372796,1453,2914,4367,"10044"
"Chris Fussell","LAD","AAA","31-31",38,0.32142857,1.28947368,0.25,0.42241379,0.32758621,0.23684211,0.13157895,0.50847458,0.20338983,0.28813559,0.10866373,290,391,681,"1004410"
"Chris Dwyer","KCR","A+,AA,AAA,R","21-27",705.2,0.29761325,0.90394877,0.13733075,0.40957447,0.45309478,0.17716115,0.07470651,0.45737164,0.25200188,0.29062647,0.10126582,4338,6722,11060,"10045"
"Al Reyes","TBD","A+,AA,AAA","36-41",15.2,0.30434783,0.7,0.15,0.35,0.5,0.35,0.15,0.36585366,0.26829268,0.36585366,0.25,16,80,96,"1005"
"Matt Skrmetta","CHW","AAA","33-33",19.2,0.4,,,,,,,,,,,,,,"1012044"
"Kevin Jarvis","ARI","AAA","36-36",83.2,0.26848249,,,,,,,,,,,,,,"1037"
"Ryan Jensen","TEX","AA,R","30-30",52,0.32954545,,,,,,,,,,,,,,"1117"
"Steve Green","DET","AAA","28-31",198.1,0.31978799,1.5511811,0.18796992,0.49373434,0.31829574,0.18897638,0.08661417,0.40786241,0.22358722,0.36855037,0.07733744,1076,1523,2599,"1005012"
"Alex White","CLE","A+,AA,AAA","21-26",398.1,0.27805281,1.4188862,0.16541353,0.48955723,0.34502924,0.18644068,0.07748184,0.46376812,0.24879227,0.28743961,0.13425565,1775,3357,5132,"10054"
"Tyler Matzek","COL","A,A-,A+,AA,AAA","19-31",595,0.30477964,1.0784,0.18659987,0.42204133,0.3913588,0.2048,0.072,0.39975772,0.25015142,0.35009085,0.15707797,3111,4815,7926,"10058"
"Brooks Raley","CHC","A-,A+,AA,AAA,R","21-35",595,0.31751825,1.2394775,0.18532207,0.45089757,0.36378036,0.19738752,0.07402032,0.43670564,0.25775292,0.30554143,0.10661995,2816,5175,7991,"10061"
"Felix Rodriguez","WSN","A+,AAA","33-33",11.1,0.35,,,,,,,,,,,,,,"1127"
"Steve Kent","HOU","AA,AAA","27-27",41.1,0.2919708,,,,,,,,,,,,,,"1218"
"Bobby Seay","DET","AAA","28-28",24.2,0.28571429,,,,,,,,,,,,,,"1225"
"Johnny Hellweg","LAA","A,A+,AA,AAA,R","19-29",595.2,0.29004854,1.9483871,0.15474723,0.55856967,0.28668311,0.23870968,0.06451613,0.43914081,0.21479714,0.34606205,0.12762217,3460,5073,8533,"10065"
"Ian Krol","OAK","A,A-,A+,AA,AAA,R","18-31",484.1,0.30947054,1.29263158,0.18731343,0.45820896,0.35447761,0.22526316,0.08631579,0.413343,0.2617839,0.3248731,0.16600199,1916,4102,6018,"10066"
"Scott Sauerbeck","OAK","A+,AAA","34-36",78.2,0.35242291,1.60606061,0.19248826,0.49765258,0.30985915,0.27272727,0.04545455,0.47297297,0.22522523,0.3018018,0.09351988,558,800,1358,"1007"
"Caleb Cotham","NYY","A,A-,A+,AA,AAA,R","21-28",368.2,0.32065217,1.66272189,0.18256131,0.51044505,0.30699364,0.17159763,0.0739645,0.43666962,0.22054916,0.34278122,0.12487351,1611,3330,4941,"10075"
"Paul Wilson","CIN","A,A+,AAA","33-33",24,0.30208333,,,,,,,,,,,,,,"1234"
"Brian Cooper","SFG","AAA","31-31",123.1,0.2997543,,,,,,,,,,,,,,"1295"
"Scott Erickson","NYY","AAA","38-38",17,0.18867925,,,,,,,,,,,,,,"137"
"Caleb Thielbar","MIL","A,A+,AA,AAA,R","22-36",410.2,0.30008525,0.9874739,0.17145344,0.41166232,0.41688425,0.22338205,0.05845511,0.43926789,0.23710483,0.32362729,0.15071723,1563,3526,5089,"10078"
"Keith Butler","STL","A,A-,A+,AA,AAA,R","20-26",267,0.28658537,0.85069444,0.1812596,0.37634409,0.44239631,0.21875,0.0625,0.46656761,0.23625557,0.29717682,0.19002031,1131,2316,3447,"10080"
"Isidro Marquez","MEX","AAA","41-46",276.1,0.3217012,2.13636364,0.17748344,0.5602649,0.26225166,0.23232323,0.09090909,0.4955414,0.24968153,0.25477707,0.08471761,1320,2292,3612,"1008120"
"Alan Mills","DET","AA","40-40",29,0.24691358,1,0.23684211,0.38157895,0.38157895,0.13793103,0.03448276,0.45454545,0.28571429,0.25974026,0.27717391,47,137,184,"1008949"
"Bobby Jones","DET","AA","34-34",80.1,0.29535865,,,,,,,,,,,,,,"1454"
"Aaron Small","NYY","AAA","34-34",41.2,0.36809816,,,,,,,,,,,,,,"1477"
"Calvin Maduro","BAL","AA","31-31",38,0.32291667,,,,,,,,,,,,,,"151"
"Hisanori Takahashi","LAA","AAA","37-38",54,0.33103448,0.77272727,0.19310345,0.35172414,0.45517241,0.15151515,0.07575758,0.43333333,0.21333333,0.35333333,0.13897937,345,576,921,"10091"
"Dane De La Rosa","MIL","A+,AA,AAA,R","24-32",260,0.28769231,1.32599119,0.17757009,0.46884735,0.35358255,0.21585903,0.07929515,0.41415663,0.22891566,0.35692771,0.12996977,1617,2684,4301,"10095"
"Ron Villone","NYY","AAA","37-40",73.2,0.30593607,1.19277108,0.15740741,0.45833333,0.38425926,0.15662651,0.09638554,0.43555556,0.25333333,0.31111111,0.08413284,564,791,1355,"1010"
"Chris Piersoll","BAL","AAA","28-29",85.1,0.31274131,1.26086957,0.1875,0.453125,0.359375,0.30434783,0.13043478,0.4375,0.328125,0.234375,0.07467532,131,177,308,"1010337"
"Jason Pearson","BAL","AA","30-30",65.2,0.2752809,,,,,,,,,,,,,,"1512"
"John Riedling","STL","AAA","30-30",18.2,0.37878788,,,,,,,,,,,,,,"1515"
"Mark Watson","OAK","AAA","32-32",43,0.3129771,,,,,,,,,,,,,,"1526"
"Jeremy Powell","PIT","AAA","33-34",233,0.29934641,1.09830508,0.1887287,0.42463958,0.38663172,0.21355932,0.08135593,0.47395172,0.26175349,0.26429479,0.07343533,1255,2340,3595,"1010490"
"Roberto Ramirez","MEX","AAA","33-40",790,0.35606354,1.94934641,0.15337711,0.55956848,0.28705441,0.12908497,0.10294118,0.46546275,0.2717833,0.26275395,0.08549794,3749,6684,10433,"1010674"
"Ryan Vogelsong","PIT","A+,AA,AAA,R","28-38",222,0.2984127,1.17880795,0.2240566,0.41981132,0.35613208,0.26490066,0.09933775,0.45558087,0.2118451,0.33257403,0.08410522,1048,1651,2699,"1011"
"Luis Rivera","MEX","AAA","28-32",315.1,0.31969553,2.13809524,0.19041769,0.55159705,0.25798526,0.25714286,0.12380952,0.53973903,0.20521945,0.25504152,0.07600561,1818,2458,4276,"1011004"
"Kevin Frederick","BOS","AA","29-29",11,0.3125,,,,,,,,,,,,,,"1536"
"Pete Munro","MIN","AAA","31-31",162.1,0.31926606,,,,,,,,,,,,,,"1546"
"John Stephens","BAL","AA,AAA","26-26",86.1,0.32142857,,,,,,,,,,,,,,"1569"
"Kip Wells","PIT","A+,AA,AAA","29-36",144,0.32327586,2.07894737,0.17798595,0.55503513,0.26697892,0.14912281,0.13157895,0.496614,0.22799097,0.27539503,0.0855792,857,1258,2115,"1012"
"Kyle Gibson","MIN","A+,AA,AAA,R","22-29",410,0.30442177,2.22372881,0.18648417,0.56116339,0.25235244,0.20677966,0.09152542,0.51747088,0.218802,0.26372712,0.16722672,1696,3363,5059,"10123"
"Dave Williams","NYM","A+,AA,AAA,R","27-30",163,0.28712871,0.92682927,0.15733333,0.40533333,0.43733333,0.23170732,0.11585366,0.49357326,0.25192802,0.25449871,0.11034483,522,1073,1595,"1013"
"Stephen Strasburg","WSN","A,A+,AA,AAA","21-33",122.1,0.24738676,2.11842105,0.14440433,0.58122744,0.27436823,0.22368421,0.03947368,0.46206897,0.17931034,0.35862069,0.18145957,482,1039,1521,"10131"
"Andrew Lorraine","CHW","AAA","33-33",27.2,0.2826087,,,,,,,,,,,,,,"1583"
"Lance Carter","LAD","AAA","31-31",57.1,0.31677019,,,,,,,,,,,,,,"1592"
"Andy Pratt","MIL","AA","26-26",22.1,0.31944444,,,,,,,,,,,,,,"1640"
"Brad Boxberger","CIN","A+,AA,AAA,CPX","22-35",301.1,0.34244604,1.15079365,0.21106259,0.42212518,0.36681223,0.20634921,0.07936508,0.40254237,0.24293785,0.35451977,0.14939659,1715,3091,4806,"10133"
"Dario Veras","MEX","AAA","34-37",133,0.31472081,1.07284768,0.18276762,0.4229765,0.39425587,0.24503311,0.05960265,0.385,0.23,0.385,0.11232604,665,1347,2012,"1013403"
"Ed Yarnall","KCR","AAA","30-31",72,0.2985782,0.875,0.16666667,0.38888889,0.44444444,0.25,0.0625,0.48648649,0.32432432,0.18918919,0.07692308,47,96,143,"1014322"
"Manny Barreda","NYY","A,A-,A+,AA,AAA,R","18-32",810.2,0.29791099,1.01184069,0.1849106,0.40994331,0.4051461,0.24327234,0.07965554,0.45177665,0.24534687,0.30287648,0.14606076,4233,7584,11817,"10148"
"Tommy Phelps","NYY","AAA","32-32",95,0.32475884,,,,,,,,,,,,,,"1665"
"Willis Roberts","MEX","AAA","31-31",11.1,0.35135135,,,,,,,,,,,,,,"167"
"Matt Ford","MIN","AAA","25-25",58,0.28125,,,,,,,,,,,,,,"1674"
"Aaron Crow","KCR","A+,AA,AAA,R","23-31",188.2,0.3198594,2.16,0.1350365,0.59124088,0.27372263,0.16,0.13333333,0.48324515,0.23633157,0.28042328,0.14042047,894,1627,2521,"10149"
"Ryan Weber","ATL","A,A+,AA,AAA,R","18-32",1040.2,0.30666667,2.30379747,0.18488445,0.56839475,0.2467208,0.15189873,0.10759494,0.48241358,0.23347483,0.28411158,0.1118736,3739,8793,12532,"10160"
"Jose Ramirez","NYY","A,A+,AA,AAA,R","18-28",611,0.29537367,1.13273002,0.15329341,0.4497006,0.39700599,0.2428356,0.07239819,0.44393064,0.25549133,0.30057803,0.22237527,2035,4499,6534,"10171"
"Edgar Olmos","FLA","A,A-,A+,AA,AAA,R","18-27",678.2,0.31581633,1.20612813,0.18852459,0.44364754,0.36782787,0.22841226,0.06545961,0.43762475,0.22704591,0.33532934,0.15101941,3012,5179,8191,"10174"
"Josh Stewart","FLA","AAA,R","27-27",44.1,0.30769231,,,,,,,,,,,,,,"1683"
"Phil Norton","CHC","A+,R","30-30",21,0.35483871,,,,,,,,,,,,,,"1714"
"Aaron Looper","SEA","AAA","29-29",64.2,0.34632035,,,,,,,,,,,,,,"1788"
"Melvin Mercedes","DET","A,A-,A+,AA,AAA,R","17-25",389.2,0.29142857,1.60686016,0.17322176,0.50962343,0.31715481,0.21372032,0.06068602,0.42971888,0.24417671,0.32610442,0.13268032,1500,2992,4492,"10181"
"Jacob Turner","DET","A,A+,AA,AAA","19-27",711,0.29761348,1.47632312,0.17109557,0.49417249,0.33473193,0.1908078,0.07799443,0.48560987,0.21653723,0.2978529,0.13183562,3151,5974,9125,"10185"
"Tyler Skaggs","LAA","A,A+,AA,AAA,R","17-25",554.2,0.31836735,1.2267658,0.16689847,0.45897079,0.37413074,0.2063197,0.0669145,0.45406125,0.23635153,0.30958722,0.16666667,2228,4696,6924,"10190"
"Shelby Miller","STL","A,A+,AA,AAA,CPX,R","18-32",582.2,0.3266436,0.94184168,0.16931583,0.40290256,0.42778162,0.21324717,0.08077544,0.39194631,0.24161074,0.36644295,0.15642925,2683,5685,8368,"10197"
"Carlos Pulido","MEX","AAA","34-34",139,0.33128834,,,,,,,,,,,,,,"1815"
"Noah Lowry","SFG","A+,AAA","25-25",10.2,0.32142857,,,,,,,,,,,,,,"1833"
"David Lee","HOU","AAA","33-33",50.1,0.29166667,,,,,,,,,,,,,,"1843"
"Aaron Northcraft","ATL","A,A-,A+,AA,AAA,R","19-32",898,0.30443014,1.89636608,0.17421335,0.54067536,0.28511128,0.18034993,0.06729475,0.46222553,0.2277633,0.31001116,0.14209402,3877,7355,11232,"10218"
"Ryota Igarashi","NYM","A+,AAA","31-33",112.2,0.28571429,1.08571429,0.17045455,0.43181818,0.39772727,0.17142857,0.04761905,0.41391941,0.25274725,0.33333333,0.15025907,620,1117,1737,"10232"
"Aroldis Chapman","CIN","A,AA,AAA","22-34",117.1,0.33948339,1.125,0.18148148,0.43333333,0.38518519,0.25961538,0.07692308,0.39084507,0.25,0.35915493,0.10794104,806,1297,2103,"10233"
"Bryan Morris","LAD","A,A+,AA,AAA,R","19-30",543,0.30916976,2.10077519,0.15552428,0.5721323,0.27234342,0.17312661,0.0749354,0.4739689,0.22177147,0.30425963,0.19363851,1406,3247,4653,"10234"
"Chad Bentz","CIN","AA,AAA","26-26",50.1,0.19402985,,,,,,,,,,,,,,"1889"
"Chris Mabeus","OAK","AA,AAA","27-27",48.1,0.29496403,,,,,,,,,,,,,,"1892"
"Ryan Snare","KCR","AA","27-27",35.1,0.36363636,,,,,,,,,,,,,,"1912"
"Ariel Pena","LAA","A,A+,AA,AAA,R","18-30",1123.2,0.30114943,0.93618619,0.14940633,0.41127968,0.43931398,0.24624625,0.06831832,0.43727944,0.24286173,0.31985884,0.17628726,5378,9382,14760,"10240"
"Andy Oliver","DET","AA,AAA","22-29",748.2,0.30236062,1.06572165,0.19122099,0.4172553,0.39152371,0.23324742,0.07731959,0.41179337,0.24951267,0.33869396,0.11700008,4959,7588,12547,"10257"
"Rafael Martin","MEX","A+,AA,AAA,R","23-35",652.1,0.28805886,0.79262087,0.18318841,0.36115942,0.45565217,0.28498728,0.06997455,0.42633053,0.25994398,0.31372549,0.1506806,3242,6235,9477,"10258"
"Omar Beltre","TEX","AAA,R","24-29",191,0.28661088,1.77906977,0.21381579,0.50328947,0.28289474,0.22093023,0.02325581,0.43670886,0.22468354,0.33860759,0.16191067,548,1064,1612,"10259"
"Justin Huisman","HOU","AAA,R","27-27",45,0.35877863,,,,,,,,,,,,,,"1914"
"Rigo Beltran","MEX","AAA","36-36",59.1,0.38571429,,,,,,,,,,,,,,"1916"
"Franklyn Gracesqui","BAL","AAA","26-26",36,0.33663366,,,,,,,,,,,,,,"1921"
"Alexi Ogando","TEX","AA,AAA,R","22-34",173.2,0.29954955,1.04861111,0.17827298,0.42061281,0.40111421,0.24305556,0.07638889,0.44973545,0.25132275,0.2989418,0.16923077,568,1252,1820,"10261"
"Justin Marks","OAK","A,A+,AA,AAA,R","21-29",875.2,0.31662689,1.08325171,0.15895611,0.43732701,0.40371688,0.1870715,0.07933399,0.4214589,0.25125434,0.32728676,0.13265387,4593,7966,12559,"10265"
"Tanner Scheppers","TEX","AA,AAA","23-30",236,0.325,1.16,0.20118343,0.42899408,0.36982249,0.236,0.084,0.3962804,0.22889843,0.37482117,0.10588817,1512,2530,4042,"10267"
"Josh Smoker","WSN","A,A-,A+,AA,AAA,R","18-30",422,0.32795242,1.01731602,0.20273738,0.40205304,0.39520958,0.24458874,0.08874459,0.45723684,0.23026316,0.3125,0.19183922,1602,3324,4926,"10285"
"Dustin Hermanson","CHW","AAA","33-33",13.2,0.23333333,,,,,,,,,,,,,,"195"
"Matt Whiteside","PIT","AAA","38-38",26.2,0.21052632,,,,,,,,,,,,,,"1956"
"J.B. Miadich","TBD","AAA","30-30",67,0.21794872,,,,,,,,,,,,,,"23"
"Adam Eaton","TEX","A,AA,AAA","28-31",127,0.30562347,1.36567164,0.14092141,0.49593496,0.36314363,0.17910448,0.09701493,0.45194805,0.25194805,0.2961039,0.11184646,488,1023,1511,"1029"
"Ryan Tepera","TOR","A,A+,AA,AAA,R","21-35",674.2,0.29334011,1.33134328,0.19815195,0.45790554,0.34394251,0.22835821,0.0761194,0.45138889,0.24454365,0.30406746,0.14038508,2809,5397,8206,"10291"
"Chad Bell","TEX","A,A-,A+,AA,AAA","21-29",747.1,0.30706889,1.35163399,0.18412698,0.46893424,0.34693878,0.18823529,0.06928105,0.4175485,0.26146384,0.32098765,0.1295364,3277,6257,9534,"10297"
"Alan Embree","CHW","AAA","40-40",15,0.30232558,0.73684211,0.21428571,0.33333333,0.45238095,0.10526316,0,0.34883721,0.20930233,0.44186047,0.1218638,107,172,279,"1030"
"Joe Horgan","FLA","AAA","29-29",43,0.25,,,,,,,,,,,,,,"2304"
"Dan Wright","SEA","AAA","28-28",11,0.3030303,,,,,,,,,,,,,,"258"
"Dusty Bergman","SFG","AAA","28-28",46.2,0.38787879,,,,,,,,,,,,,,"2643"
"Chris Heston","SFG","A,A+,AA,AAA,R","21-30",943.1,0.31130064,1.77111383,0.18853047,0.51863799,0.29283154,0.1872705,0.08445532,0.48227936,0.23314802,0.28457262,0.12961351,3798,7690,11488,"10302"
"Jarred Cosart","PHI","A,A+,AA,AAA,R","19-27",546.2,0.28678304,1.97303371,0.16159696,0.55640051,0.28200253,0.20449438,0.07191011,0.42131047,0.22106552,0.357624,0.12917595,2609,4575,7184,"10304"
"Roman Mendez","BOS","A,A-,A+,AA,AAA,R","17-28",640.2,0.29734313,0.77234803,0.16272523,0.36486486,0.47240991,0.2443385,0.0738975,0.44687842,0.2754655,0.27765608,0.19901096,2338,5144,7482,"10307"
"Zack Wheeler","SFG","A,A+,AA,AAA","20-28",397.1,0.29727096,1.37321937,0.16365462,0.48393574,0.35240964,0.1994302,0.05982906,0.39514563,0.24174757,0.3631068,0.17690948,1762,3331,5093,"10310"
"Alan Benes","STL","AAA","34-34",66.1,0.25742574,,,,,,,,,,,,,,"265"
"Will Cunnane","STL","AAA","32-32",26,0.3592233,,,,,,,,,,,,,,"274"
"Jeff Bajenaru","ARI","AAA","28-28",80,0.30672269,,,,,,,,,,,,,,"2920"
"Erasmo Ramirez","SEA","A,A-,A+,AA,AAA,R","18-33",868,0.30177059,1.61104294,0.17487398,0.50911206,0.31601396,0.19018405,0.08834356,0.43215892,0.24475262,0.32308846,0.14390267,3083,7438,10521,"10314"
"Michael Tonkin","MIN","A,A+,AA,AAA,R","18-33",557.2,0.31441923,1.40429688,0.15684932,0.49246575,0.35068493,0.23632813,0.06445313,0.42032787,0.23147541,0.34819672,0.18443893,1854,4598,6452,"10315"
"Chad Jenkins","TOR","A,A+,AA,AAA,R","22-28",630.2,0.30802499,1.58006042,0.17924075,0.50264296,0.31811629,0.19033233,0.08459215,0.5,0.21977507,0.28022493,0.12749278,2230,5041,7271,"10326"
"Giovanni Soto","DET","A,A+,AA,AAA,R","18-26",539.1,0.29548564,1.94567901,0.17037552,0.54798331,0.28164117,0.15061728,0.07901235,0.44005358,0.22572003,0.33422639,0.16691307,2498,4266,6764,"10330"
"Donovan Osborne","KCR","AAA","37-37",52.2,0.38888889,,,,,,,,,,,,,,"299"
"Kevin Appier","SEA","AAA","38-38",35.2,0.33050847,,,,,,,,,,,,,,"3"
"Jose Acevedo","COL","AAA","28-28",87,0.33333333,,,,,,,,,,,,,,"307"
"Nick Christiani","CIN","A,A+,AA,AAA","22-29",337.1,0.32909091,1.6952381,0.21534196,0.4935305,0.29112754,0.22857143,0.07301587,0.43381038,0.2549195,0.31127013,0.09369296,1809,3122,4931,"10332"
"Edwin Escobar","TEX","A,A-,A+,AA,AAA,R","17-24",706.1,0.32026453,1.16062176,0.2,0.42973621,0.37026379,0.21243523,0.07253886,0.39632184,0.23448276,0.3691954,0.14480752,2964,5972,8936,"10337"
"Juan Minaya","HOU","A,A-,A+,AA,AAA,R","18-32",700.1,0.30935614,1.40483384,0.18982188,0.47328244,0.33689567,0.19486405,0.081571,0.44575356,0.22631321,0.32793324,0.1709492,3005,5518,8523,"10341"
"Aaron Loup","TOR","A,A+,AA,AAA,R","21-28",228.1,0.34915773,1.28571429,0.15919629,0.47295209,0.36785162,0.16386555,0.05882353,0.39130435,0.26986507,0.33883058,0.16887417,711,1705,2416,"10343"
"Mark Woodyard","DET","AA,AAA","27-27",58.1,0.34636872,,,,,,,,,,,,,,"3094"
"Jared Fernandez","MIL","AAA","34-34",129.1,0.30136986,,,,,,,,,,,,,,"324"
"Aaron Sele","LAD","AAA","36-36",29.2,0.29268293,,,,,,,,,,,,,,"34"
"Robbie Erlin","TEX","A,A+,AA,AAA,R","18-32",749,0.32629647,1.01490826,0.20281307,0.40154265,0.39564428,0.22706422,0.12041284,0.43621219,0.26172731,0.3020605,0.13513011,3535,7225,10760,"10354"
"Carlos Contreras","CIN","A,A+,AA,AAA,R","17-26",455,0.28182546,0.98669202,0.15316045,0.42058347,0.42625608,0.23574144,0.08174905,0.42724458,0.26934985,0.30340557,0.18763665,1744,3287,5031,"10386"
"Brooks Pounders","PIT","A,A-,A+,AA,AAA,R","18-30",701.1,0.29839959,0.88297872,0.17928903,0.38485317,0.43585781,0.21513002,0.07328605,0.43343343,0.25425425,0.31231231,0.1501601,3029,6028,9057,"10387"
"Mychal Givens","BAL","A,A+,AA,AAA,CPX","23-33",176.2,0.26754386,1.4966443,0.16778523,0.49888143,0.33333333,0.16107383,0.04697987,0.43844492,0.23326134,0.32829374,0.15300767,898,1579,2477,"10430"
"Ben Weber","TOR","AAA","36-36",43.2,0.32575758,,,,,,,,,,,,,,"41"
"Chris Demaria","MIL","AAA","25-25",51.2,0.30344828,,,,,,,,,,,,,,"4361"
"Rick Helling","MIL","AAA","35-35",12,0.23684211,,,,,,,,,,,,,,"58"
"Brian Lawrence","COL","AAA","31-35",448.2,0.33466934,1.18505338,0.18351064,0.44281915,0.37367021,0.15836299,0.08185053,0.47693307,0.2488629,0.27420403,0.08239478,2203,4545,6748,"1045"
"Taylor Jordan","WSN","A,A-,A+,AA,AAA,R","20-27",489.1,0.2971542,1.81438515,0.17257844,0.53342428,0.29399727,0.17169374,0.0487239,0.4875817,0.2124183,0.3,0.1677771,1367,3586,4953,"10466"
"Shawn Tolleson","LAD","A,A+,AA,AAA,R","22-28",132,0.30656934,1.40816327,0.14181818,0.50181818,0.35636364,0.12244898,0.10204082,0.34507042,0.27816901,0.37676056,0.2415071,486,1133,1619,"10481"
"Yoervis Medina","SEA","A,A-,A+,AA,AAA,R","17-27",541,0.31869511,1.59565217,0.14469914,0.52578797,0.32951289,0.18695652,0.09565217,0.47742818,0.22777018,0.29480164,0.20688935,1417,3373,4790,"10498"
"Darrell May","CIN","AAA","34-34",46.2,0.26315789,,,,,,,,,,,,,,"613"
"Scott Mullen","ATL","AAA","31-31",28.1,0.29787234,,,,,,,,,,,,,,"618"
"Kris Wilson","NYY","AA,AAA","29-29",141,0.28571429,,,,,,,,,,,,,,"636"
"Jason Marquis","WSN","A+,AA,AAA,R","31-35",93.2,0.30075188,2.12328767,0.15241636,0.57620818,0.27137546,0.1369863,0.10958904,0.48913043,0.27898551,0.23188406,0.117598,391,808,1199,"105"
"Preston Claiborne","NYY","A-,A+,AA,AAA,R","22-30",324.1,0.30090498,1,0.1712963,0.41435185,0.41435185,0.22346369,0.05865922,0.43222222,0.25222222,0.31555556,0.16311226,1437,2830,4267,"10500"
"Mario Hollands","PHI","A,A-,A+,AA,AAA","21-28",459,0.31931575,0.99830221,0.15262779,0.42332613,0.42404608,0.19524618,0.06112054,0.38792505,0.24913255,0.3629424,0.17363281,1592,3528,5120,"10504"
"Jake Peavy","CHW","A+,AA,AAA","28-34",85,0.32653061,0.84158416,0.256,0.34,0.404,0.24752475,0.08910891,0.38431373,0.30588235,0.30980392,0.12178517,435,887,1322,"1051"
"Terry Mulholland","ARI","AAA","43-43",10.2,0.28125,,,,,,,,,,,,,,"665"
"Tony Fiore","DET","AAA","34-34",26,0.30864198,,,,,,,,,,,,,,"726"
"Adam Johnson","OAK","A+,AAA","26-26",33.1,0.32407407,,,,,,,,,,,,,,"733"
"Hunter Cervenka","BOS","A,A-,A+,AA,AAA,R","19-29",515.2,0.29498525,1.35117773,0.16310976,0.48094512,0.35594512,0.20770878,0.05995717,0.44565217,0.23768116,0.31666667,0.17213829,2637,4247,6884,"10510"
"Drew Hayes","CIN","A,AA,AAA,R","22-28",402.2,0.30912477,1.47368421,0.18731988,0.48414986,0.32853026,0.21345029,0.06432749,0.38086477,0.2649494,0.35418583,0.13227848,2384,3936,6320,"10528"
"Dean Kiekhefer","STL","A,A+,AA,AAA,R","21-30",483,0.30579614,1.73348519,0.18699187,0.51558266,0.29742547,0.16173121,0.07517084,0.40117417,0.25375082,0.34507502,0.13834862,1535,3915,5450,"10529"
