"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Merrifield, Whit","593160","559","15.6",41.9,"104.8","87","90.6","82.9","434","183","392","161",29,"24",4.3,3.3
"Semien, Marcus","543760","556","14.9",34,"108.2","88.9","93.3","85.5","438","182","401","209",38.1,"47",8.5,6.3
"Castro, Starlin","516770","534","11",29.6,"113.3","88.5","91.5","87.4","438","161","399","201",37.7,"33",6.2,4.9
"Fletcher, David","664058","534","9.9",37.5,"104.5","83.8","86.5","82.8","413","162","375","90",17.1,"1",0.2,0.2
"Albies, Ozzie","645277","532","15.6",36.8,"110.8","88.9","91.4","86.3","444","190","395","181",34,"35",6.6,5
"Devers, Rafael","646240","531","10.4",33,"115","92.5","96.5","89.9","458","176","403","252",48.4,"48",9,6.8
"Pillar, Kevin","607680","529","14.1",32.9,"111.7","86.4","90.8","84","440","163","400","163",30.8,"26",4.9,4
"Polanco, Jorge","593871","524","19.1",41.4,"108.2","88","91.7","83.3","424","208","393","172",33.1,"35",6.7,5
"LeMahieu, DJ","518934","517","6.5",35.2,"111.1","91.9","95.3","89.5","446","161","386","246",48.5,"39",7.5,6
"Hernández, César","514917","516","9.5",31.8,"108.4","86","88.5","85.6","424","147","391","146",28.3,"14",2.7,2.1
"Escobar, Eduardo","500871","516","18.4",38.6,"106.9","87.8","91.1","83.8","433","212","393","162",31.4,"36",7,5.2
"Andrus, Elvis","462101","514","7.2",32.5,"110.2","88.4","90.6","87.6","447","151","402","178",34.8,"18",3.5,2.8
"Brantley, Michael","488726","513","10.6",36.3,"108.9","88.8","92.4","87.1","438","165","394","187",37.3,"28",5.5,4.4
"Segura, Jean","516416","507","7.2",31,"113.1","88.2","90.6","87.8","427","149","389","166",32.7,"16",3.2,2.6
"Lindor, Francisco","596019","507","12.3",29.6,"113.5","91","93.7","90.4","437","174","397","207",41,"38",7.5,5.8
"Gurriel, Yuli","493329","505","14.3",33.5,"110.6","89.3","91.4","90.4","450","173","387","188",38.1,"18",3.6,2.9
