"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Altuve, Jose","514888","580","11.2",31.2,"106.5","86.1","90.2","84","410","159","386","166",28.6,"18",3.1,2.6
"Escobar, Alcides","444876","553","9.6",30.4,"106.2","84.6","86.4","84.2","407","154","395","91",16.5,"5",0.9,0.8
"Cabrera, Melky","466320","553","9.7",30.9,"111","89.6","91.2","90.4","455","163","399","200",36.2,"13",2.4,1.9
"Kinsler, Ian","435079","549","17.7",36.6,"105.5","86.1","88.6","84.4","407","189","378","146",26.6,"15",2.7,2.2
"Aybar, Erick","430947","536","6.6",31.2,"108.1","85.7","87.8","84.6","409","144","389","104",19.4,"5",0.9,0.8
"Revere, Ben","519184","536","5.1",34.9,"111.4","83.1","86","81.3","389","133","367","78",14.6,"0",0,0
"Strange-Gordon, Dee","543829","535","2.1",28.6,"106.9","84.5","87.6","82.8","406","125","379","91",17,"6",1.1,0.9
"Andrus, Elvis","462101","535","10.1",28,"109.8","87.3","89.7","87.3","423","153","397","145",27.1,"8",1.5,1.2
"Pujols, Albert","405395","533","14.2",29.5,"114","90.7","93.8","89.1","447","188","405","204",38.3,"41",7.7,6.2
"Fielder, Prince","425902","530","9.9",29.4,"114.9","90.9","93.2","90.4","447","170","408","236",44.5,"34",6.4,4.9
"Markakis, Nick","455976","530","6.8",30.6,"108.5","88.3","89.6","88.7","418","151","413","178",33.6,"4",0.8,0.6
"Pollock, AJ","572041","529","8.9",31.2,"110.6","88.9","92.6","87.1","450","165","405","207",39.1,"30",5.7,4.5
"Seager, Kyle","572122","529","16.8",36.1,"109.3","89.3","91.9","87.1","448","192","401","183",34.6,"37",7,5.4
"Machado, Manny","592518","528","12.8",29.7,"114.9","91.4","94.4","90.6","440","179","399","220",41.7,"40",7.6,5.6
"Phillips, Brandon","408252","524","10.7",32.6,"108.2","86.2","87.7","85.4","414","160","382","136",26,"12",2.3,1.9
"Betts, Mookie","605141","524","15.4",33.4,"110.3","90.4","92.2","90.2","427","193","398","196",37.5,"29",5.5,4.4
"Ramirez, Alexei","493351","522","8.6",32.2,"107.2","84.7","88","83.4","412","146","386","116",22.2,"5",1,0.8
"Canó, Robinson","429664","521","5.5",32.4,"112.5","91","95.3","88.1","449","157","405","238",45.7,"38",7.3,5.6
"Bogaerts, Xander","593428","518","6.8",28,"111.8","88","91.1","87","437","144","401","175",33.8,"13",2.5,2
"Arenado, Nolan","571448","517","16.3",33.7,"110.2","90.6","94.2","87.8","456","200","411","208",40.2,"43",8.3,6.5
"Posey, Buster","457763","512","10.9",33.6,"110.3","89","91.7","87.6","427","172","401","192",37.5,"31",6.1,5
