"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Fletcher, David","664058","573","8.2",30,"107.9","82.3","83.3","83.8","377","129","369","90",15.7,"0",0,0
"Merrifield, Whit","593160","573","14.1",39.8,"107.8","86.9","91.4","82.2","414","169","384","165",28.8,"20",3.5,2.8
"Edman, Tommy","669242","552","9.5",31.5,"112.9","87.5","90.5","86","436","151","405","194",35.1,"23",4.2,3.3
"Kiner-Falefa, Isiah","643396","548","5.4",31.6,"107.9","85.5","89.5","83.6","423","134","401","158",28.8,"10",1.8,1.5
"Altuve, Jose","514888","517","15.6",31.9,"109.1","87.7","92.9","84.1","435","163","386","181",35,"33",6.4,4.9
"Frazier, Adam","624428","512","12.6",38.9,"108.7","85.4","87.1","85.3","411","158","383","129",25.2,"5",1,0.8
"Crawford, J.P.","641487","510","9.8",34.1,"110.5","86.3","88.3","86.4","430","146","383","156",30.6,"12",2.4,1.7
"Semien, Marcus","543760","509","20.3",35.2,"109.5","89.7","93.9","84.3","439","199","388","210",41.3,"50",9.8,6.9
"LeMahieu, DJ","518934","508","5",33.3,"110.6","90.6","92.9","89.2","412","141","375","220",43.5,"19",3.7,2.8
"Albies, Ozzie","645277","508","21.1",37,"111.4","89.6","92.3","86.3","439","200","401","189",37.2,"47",9.3,6.9
"Bichette, Bo","666182","507","7.3",33.5,"115.5","91.4","94.6","90","468","153","401","241",47.5,"50",9.9,7.2
"Arenado, Nolan","571448","504","20",34.1,"110.6","89","92.1","87.4","409","188","387","189",37.5,"34",6.7,5.2
"Schoop, Jonathan","570731","498","10.8",30.1,"117.1","88.1","91.7","87.9","440","145","395","200",40.2,"34",6.8,5
"Guerrero Jr., Vladimir","665489","496","9.4",33.7,"117.4","95.1","98.5","93.4","465","172","409","274",55.2,"75",15.1,10.7
"Freeman, Freddie","518692","495","12",37.2,"113.6","91.4","95.4","87.4","446","178","407","228",46.1,"57",11.5,8.2
"Turner, Trea","607208","489","11.4",34.6,"112.2","89.6","92.6","88.1","443","159","406","226",46.2,"36",7.4,5.6
"Newman, Kevin","621028","485","9.9",31.8,"109.4","85.3","86.8","86.1","400","146","384","126",26,"8",1.6,1.4
"Cronenworth, Jake","630105","483","12.5",35.8,"110.8","88.6","92.2","86.5","445","165","400","169",35,"35",7.2,5.4
"Mullins, Cedric","656775","482","14.8",35.5,"109.7","89.4","92.4","88.7","440","171","397","190",39.4,"39",8.1,5.8
"Polanco, Jorge","593871","476","19.3",36.1,"109.9","89.4","93.5","83.1","435","188","399","178",37.4,"48",10.1,7.5
"Gurriel, Yuli","493329","474","13.4",31,"109.1","89.8","91","91.3","413","161","384","199",42,"16",3.4,2.6
"Machado, Manny","592518","473","14",33.8,"119.6","93.1","96.8","91.5","453","177","401","247",52.2,"63",13.3,9.8
"Goldschmidt, Paul","502671","472","17.1",36.9,"112.2","92.6","96.6","88.7","470","188","415","239",50.6,"64",13.6,9.4
"France, Ty","664034","471","11",35.9,"111.1","88.5","92.5","85.5","442","160","403","183",38.9,"32",6.8,4.9
"Ramírez, José","608070","470","18.2",33.4,"112.6","90","94.7","88","429","179","388","199",42.4,"52",11.1,8.2
"Santana, Carlos","467793","468","12.9",28,"111.2","89.9","94.1","88.2","447","155","408","196",41.9,"32",6.8,4.9
"Olson, Matt","621566","463","16.2",32.4,"115.3","91.6","96.1","88.7","445","178","401","226",48.8,"59",12.7,8.8
"Haniger, Mitch","571745","459","14.8",33.6,"110","89.3","94.2","85.2","438","172","401","207",45.1,"58",12.6,8.4
"Perez, Salvador","521692","454","15.9",34.1,"114.4","93","97.6","88.8","460","189","407","255",56.2,"74",16.3,11.1
"Verdugo, Alex","657077","453","7.7",34.4,"110.8","90","94.5","87.2","446","149","401","195",43,"32",7.1,5.3
