"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Betts, Mookie","605141","599","12.5",31.7,"114.7","89.7","92.6","89.8","428","175","388","239",39.9,"31",5.2,4.2
"Altuve, Jose","514888","580","11.4",39.3,"109","88.3","92.2","84.7","449","176","397","211",36.4,"40",6.9,5.6
"Pedroia, Dustin","456030","564","8.6",35.3,"104.1","88.6","91.4","86.7","417","160","376","163",28.9,"14",2.5,2
"Canó, Robinson","429664","560","11.5",32.7,"113.4","90.1","93.4","88.5","427","170","394","239",42.8,"41",7.3,5.7
"Escobar, Alcides","444876","556","9.4",31.7,"105.8","84","86.6","83","417","152","399","98",17.6,"8",1.4,1.2
"Segura, Jean","516416","542","7.9",31,"110","89","92.1","87.1","452","170","399","183",33.8,"32",5.9,4.6
"Prado, Martín","445988","536","8.6",31.2,"105.8","87.9","88","88.8","415","151","396","165",30.8,"7",1.3,1.1
"Lindor, Francisco","596019","534","7.9",34.6,"112.1","88.7","90.8","87.7","435","162","394","179",33.5,"22",4.1,3.2
"Bogaerts, Xander","593428","532","11",28,"113.2","89","92.6","88.2","430","157","400","174",32.7,"28",5.3,3.9
"Cabrera, Melky","466320","530","11.2",33.6,"110.6","89.5","90.2","90.8","428","175","392","181",34.2,"11",2.1,1.7
"Machado, Manny","592518","525","14.5",34.9,"116.8","90.3","94.8","88.4","453","193","405","227",43.2,"49",9.3,7
"Pujols, Albert","405395","524","11.7",31.5,"116.5","91.6","94.7","90.1","448","182","410","231",44.1,"48",9.2,7.4
"Arenado, Nolan","571448","523","18.8",32.7,"111.2","89.5","92.8","87.3","462","199","411","208",39.8,"47",9,6.8
"Beltré, Adrián","134181","520","14.5",34.2,"109.9","90.1","93.7","88.2","456","185","400","210",40.4,"44",8.5,6.9
"Eaton, Adam","594809","514","4.9",31.1,"108.6","89.1","90.7","88.6","451","147","395","186",36.2,"16",3.1,2.3
"Jones, Adam","430945","513","14.7",31.8,"110.5","88.7","92.6","86.2","453","184","398","178",34.7,"41",8,6.1
"Abreu, José","547989","508","10.3",32.7,"113.4","89.7","92.9","88.3","451","166","408","200",39.4,"40",7.9,5.8
"Ramírez, José","608070","508","13.2",35,"110.7","88.4","90.3","87.9","430","171","396","167",32.9,"15",3,2.4
"Markakis, Nick","455976","507","10.7",37.7,"114.3","90.7","91.8","90.8","419","173","385","216",42.6,"25",4.9,3.7
"Kinsler, Ian","435079","506","18.3",37.4,"105.5","87.1","90.5","83.4","417","200","381","156",30.8,"19",3.8,2.8
"Span, Denard","452655","501","6.6",29.5,"108.8","86","88.9","84.9","441","145","381","149",29.7,"14",2.8,2.2
"Seager, Corey","608369","496","10.3",37.5,"112.7","91.1","94.9","87.8","449","175","399","218",44,"41",8.3,6
"Longoria, Evan","446334","496","18.1",38.1,"110.2","90.8","94.5","87.5","462","204","409","206",41.5,"60",12.1,8.8
"Seager, Kyle","572122","491","16.8",36.3,"109.2","90.3","93.4","88.3","429","193","391","203",41.3,"44",9,6.5
"Phillips, Brandon","408252","490","10.3",35.1,"108.9","86.4","89","85.3","415","163","393","125",25.5,"13",2.7,2.2
"Gregorius, Didi","544369","490","14.6",32.4,"108.8","86.1","88.6","85.5","402","172","373","124",25.3,"14",2.9,2.3
"Santana, Carlos","467793","488","14.4",29.3,"111.2","90.8","93.8","90.1","447","178","405","211",43.2,"48",9.8,7
"LeMahieu, DJ","518934","486","6.1",36.2,"111.9","91.8","93","91.6","450","157","418","232",47.7,"24",4.9,3.8
"Cabrera, Miguel","408234","484","12.3",40.1,"114.3","93.6","97.2","91","462","196","405","245",50.6,"77",15.9,11.3
"Dozier, Brian","572821","484","18.8",31.2,"107.7","88.1","94.3","82.3","454","190","400","175",36.2,"40",8.3,5.8
"Blackmon, Charlie","453568","483","15.2",39.1,"112.7","87.7","90.6","85.4","455","193","403","162",33.5,"33",6.8,5.1
"Murphy, Daniel","502517","482","16.8",36.3,"113.5","90.7","93.1","90","448","200","399","200",41.5,"41",8.5,7
"Calhoun, Kole","594777","481","15.1",36.2,"109.6","89.8","92","89.1","434","187","393","195",40.5,"30",6.2,4.5
"Schoop, Jonathan","570731","481","11.9",29.7,"113.6","87.4","93.2","84.5","458","163","410","169",35.1,"33",6.9,5.1
"Kemp, Matt","461314","479","14.5",37.2,"110.7","88.2","93.3","82.4","452","195","409","182",38,"53",11.1,7.9
"Franco, Maikel","596748","479","11.8",28.6,"113.2","89.5","94.2","87.6","471","166","404","195",40.7,"33",6.9,5.2
"Posey, Buster","457763","479","9.9",32.6,"110.2","90.5","94.4","87.5","423","170","401","207",43.2,"33",6.9,5.4
"Rizzo, Anthony","519203","478","16.3",31.6,"113.5","89.1","92.4","86.7","451","193","402","173",36.2,"44",9.2,6.5
"Hosmer, Eric","543333","477","4",26,"114.9","92","95.3","90.5","447","155","403","211",44.2,"44",9.2,6.6
"Kipnis, Jason","543401","476","14.8",38.2,"108.2","89.9","93.7","86.3","445","187","400","188",39.5,"32",6.7,4.7
"Ellsbury, Jacoby","453056","474","10.7",30.8,"109.9","86.9","89.9","86.7","431","157","382","149",31.4,"8",1.7,1.3
"Odor, Rougned","596059","474","14.3",31.2,"112.1","89.6","93.7","86.8","465","183","397","178",37.6,"37",7.8,5.9
"Núñez, Eduardo","456488","473","8.4",28.8,"112","89.6","92","89.6","438","157","401","175",37,"21",4.4,3.5
"Molina, Yadier","425877","473","9.4",35.5,"106.6","87.8","90.7","85.9","414","171","387","133",28.1,"17",3.6,2.9
"Encarnación, Edwin","429665","471","15.8",35.9,"112.8","90.8","95.6","86.4","471","188","409","192",40.8,"58",12.3,8.3
"Desmond, Ian","435622","468","4.8",28.4,"112","90.7","94.3","89.2","445","147","403","204",43.6,"35",7.5,5.2
"Springer, George","543807","467","8.8",32.1,"115.9","89.4","94.4","85.7","455","171","409","180",38.5,"49",10.5,6.6
"Martinez, Victor","400121","466","15.5",37.8,"110.2","90","93.9","87","421","190","389","196",42.1,"39",8.4,6.4
"Castro, Starlin","516770","465","8.9",32.3,"113.2","88.5","92.4","86.5","443","163","404","159",34.2,"25",5.4,4.1
"Pillar, Kevin","607680","464","11.6",27.8,"113","87.1","91","85.5","424","150","400","140",30.2,"14",3,2.4
"Donaldson, Josh","518626","463","14.9",32.2,"114.1","92.2","97.6","88.3","469","187","405","228",49.2,"57",12.3,8.1
"Inciarte, Ender","542255","461","8.2",31.5,"103.1","85.5","87.7","84.4","412","147","390","69",15,"3",0.7,0.5
"Galvis, Freddy","520471","460","13.6",33.9,"107.9","87.4","90.5","84.9","417","179","383","126",27.4,"13",2.8,2.1
"Rendon, Anthony","543685","458","16.9",35.4,"111.4","91.1","93.5","90.7","449","197","403","190",41.5,"27",5.9,4.2
"Ortiz, David","120074","458","16.9",39.3,"113.4","93.2","97","89.8","442","213","402","216",47.2,"71",15.5,11.3
"McCutchen, Andrew","457705","458","16.5",32.3,"111.4","89.6","94.1","86.4","439","195","395","191",41.7,"39",8.5,5.8
"González, Adrián","408236","457","9.6",38.9,"107.8","88.2","91.8","85.2","438","167","392","155",33.9,"21",4.6,3.3
"Escobar, Yunel","488862","457","1.9",27.8,"109.5","89.3","91.6","88.3","413","129","398","165",36.1,"13",2.8,2.3
"Turner, Justin","457759","457","17",37.4,"109.2","90.6","93.2","88.4","458","197","393","189",41.4,"40",8.8,6.4
"González, Carlos","471865","456","9",32.2,"118","90.2","93.1","89.1","462","172","427","188",41.2,"39",8.6,6.2
"Beltrán, Carlos","136860","455","12.6",32.3,"110.9","90.1","92.5","90","436","171","386","175",38.5,"31",6.8,5.2
"Herrera, Odúbel","546318","453","10.3",30.7,"113.5","87.7","89.6","87.9","430","168","398","140",30.9,"19",4.2,2.9
"Bryant, Kris","592178","452","20.8",36.3,"112.6","89.3","93.9","83.4","469","204","401","176",38.9,"53",11.7,7.6
"Piscotty, Stephen","572039","452","13.7",33.2,"110.7","88.3","92.9","85.1","450","176","411","171",37.8,"39",8.6,6
"Gardner, Brett","458731","450","7.4",27.8,"107.2","86.5","89.8","84.6","420","141","399","108",24,"11",2.4,1.7
"Zobrist, Ben","450314","449","9.5",32.5,"110.4","89.2","92.6","86.6","422","162","386","160",35.6,"20",4.5,3.2
