"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Mikolas, Miles","571945","674","15",38.9,"115.5","90.4","93.7","88","479","180","404","290",43,"66",9.8,7.7
"Webb, Logan","657277","619","0.6",28.3,"114.2","90.7","95","88.8","483","120","403","285",46,"43",6.9,5.1
"Corbin, Patrick","571578","605","11.7",37.5,"116.3","90.7","94.2","87.9","444","167","403","266",44,"56",9.3,7.1
"Gibson, Kyle","502043","589","8.2",33.3,"113.3","89.7","93.9","86.7","436","151","400","262",44.5,"45",7.6,5.6
"Lyles, Jordan","543475","575","19.8",34.6,"115","89","92.8","86.1","445","184","402","204",35.5,"57",9.9,7.6
"Gallen, Zac","668678","574","12.3",36.4,"113.8","91.5","94.5","88.9","437","177","400","265",46.2,"53",9.2,6.3
"Bassitt, Chris","605135","569","13.2",36,"113.2","87.5","91.9","84.3","450","165","397","201",35.3,"47",8.3,5.7
"Kirby, George","669923","560","12.4",32,"115.6","89.2","92.8","87.7","432","156","395","229",40.9,"42",7.5,5.5
"Montgomery, Jordan","656756","559","12",36.1,"114","88.3","92.8","84.9","438","162","399","212",37.9,"42",7.5,5.4
"Alcantara, Sandy","645261","557","7",31.1,"115.1","88.8","93.4","86","442","144","402","226",40.6,"39",7,5.1
"Keller, Mitch","656605","548","10.3",36.5,"115.1","87.7","91.6","85.3","455","161","406","195",35.6,"47",8.6,5.7
"Nola, Aaron","605400","545","12.7",36.3,"114","89.3","93.5","85.9","461","167","405","210",38.5,"45",8.3,5.7
"Cole, Gerrit","543037","543","14.8",33.7,"114.9","89.2","93.2","85.9","431","173","397","213",39.2,"41",7.6,5
"Gilbert, Logan","669302","543","13.6",35,"117.3","90.5","93.7","88.6","430","169","389","242",44.6,"49",9,6.4
"Lynn, Lance","458681","540","17",34.8,"114.3","88.7","93.3","84.6","461","179","405","212",39.3,"56",10.4,6.9
"Valdez, Framber","664285","540","4.2",30.7,"114.8","91.5","95.7","88.7","472","139","401","246",45.6,"43",8,5.3
"Freeland, Kyle","607536","540","14.3",35,"115.5","90.2","94","86.3","466","181","410","235",43.5,"47",8.7,6.9
"Berríos, José","621244","537","11.8",38.9,"113.1","88.2","92.5","84.7","444","167","405","192",35.8,"46",8.6,5.9
"Elder, Bryce","693821","532","8.5",32,"115","89.9","93.4","88.3","473","148","409","218",41,"32",6,4.4
"Wheeler, Zack","554430","527","14.2",35.1,"113.2","86.9","90.5","85.3","430","163","390","192",36.4,"27",5.1,3.4
"Oviedo, Johan","670912","525","11.9",32.2,"114.8","88.6","93.3","85.4","448","160","399","211",40.2,"40",7.6,5.1
"Castillo, Luis","622491","522","15.9",31,"113","90","94.1","86.9","440","174","401","218",41.8,"49",9.4,6.1
"Kremer, Dean","665152","518","12.7",36.9,"115.2","89.7","93.4","85.5","431","175","403","209",40.3,"46",8.9,6.3
"Dunning, Dane","641540","517","10.8",32.5,"115.6","88.8","93","86.4","430","155","400","208",40.2,"39",7.5,5.4
"Walker, Taijuan","592836","516","11.1",32.9,"111.3","89.1","93","87.4","432","157","394","211",40.9,"35",6.8,4.8
"Singer, Brady","663903","512","9",34.8,"113.9","91","95","88.4","453","158","407","249",48.6,"40",7.8,5.7
