"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Odor, Rougned","596059","449","15.9",27.2,"112.4","89.1","94.2","85.6","466","180","395","164",36.6,"27",6,4.1
"Rosario, Eddie","592696","448","13.3",32.4,"107.5","87.2","93.2","81.2","445","175","397","142",31.8,"33",7.4,5.6
"Mauer, Joe","408045","445","6.2",35.7,"108.2","90.6","94.8","87.4","413","155","395","206",46.3,"20",4.5,3.4
"Segura, Jean","516416","442","6.7",32.8,"109.1","87.6","90.6","86","428","149","390","152",34.5,"14",3.2,2.5
"Springer, George","543807","441","9.3",31.1,"114.6","89.2","96.1","84.5","473","170","403","189",43.2,"41",9.3,6.5
"Calhoun, Kole","594777","441","12.3",34.9,"110.1","88.3","92","85.6","425","176","397","156",35.5,"25",5.7,3.8
"Dickerson, Corey","572816","438","13.9",35.6,"112.9","87.2","91.1","83.5","449","182","401","138",31.7,"33",7.5,5.3
"Molina, Yadier","425877","437","14.5",35.2,"106.2","87.9","92.1","84.6","434","184","398","151",35,"26",5.9,4.8
"Stanton, Giancarlo","519317","437","11.2",31.6,"122.2","92","100","86.8","468","183","418","199",45.6,"76",17.4,11
"Bell, Josh","605137","436","8.6",28.9,"112.4","87.6","92.1","85.2","441","155","403","148",34.3,"28",6.4,4.5
"Healy, Ryon","592387","436","12.8",35.6,"112.7","88.3","93.2","84.5","443","176","413","175",40.4,"33",7.6,5.5
"Peralta, David","444482","434","4.2",27,"113.8","88","93.8","85","455","144","395","153",35.4,"18",4.1,3.1
"Smoak, Justin","475253","434","17.1",39.4,"110","89.6","94.6","83.3","437","204","401","186",43,"59",13.6,9.3
"Posey, Buster","457763","433","11.6",36.5,"109.6","88.7","92.5","84.7","431","178","387","150",34.8,"15",3.5,2.6
"Rendon, Anthony","543685","432","18.3",34.7,"110.1","89.8","92.6","87.3","454","207","402","164",38.4,"28",6.5,4.6
"Mazara, Nomar","608577","430","11.3",30.5,"113.6","89","94.9","85.6","453","165","414","159",37.1,"28",6.5,4.5
"Span, Denard","452655","430","11",34.2,"108.5","85.3","89.3","83.5","420","164","392","108",25.1,"14",3.3,2.6
"Reyes, José","408314","430","15.8",32.8,"108.4","84.3","88.5","82.4","406","179","384","104",24.2,"11",2.6,2
"Realmuto, J.T.","592663","429","10.1",32.6,"111.4","88.2","91.8","85.8","444","166","396","152",35.5,"27",6.3,4.7
"Morales, Kendrys","434778","428","9.5",31.1,"113","91.1","96.2","87.5","465","173","414","199",46.6,"43",10,7.1
"Duvall, Adam","594807","428","21.1",34.6,"110.8","87.3","92.4","82.3","437","201","396","139",32.6,"38",8.9,5.9
"Anderson, Tim","641313","428","8",31.8,"108.8","85.6","91.5","81.7","451","152","404","133",31.1,"22",5.1,3.6
"Bryant, Kris","592178","427","17",35.1,"113","87","92.3","80.5","451","196","401","156",36.6,"41",9.6,6.2
"Encarnación, Edwin","429665","426","16.8",36.4,"112","89.2","94.2","84.1","466","195","405","181",42.5,"44",10.3,6.6
"Bautista, José","430832","424","17",29.7,"112.9","88.3","93.1","85.4","450","188","402","151",35.6,"28",6.6,4.1
"Cruz, Nelson","443558","423","12.4",34.5,"117.7","93.2","98.6","88.4","469","198","411","204",48.3,"60",14.2,9.3
"Polanco, Jorge","593871","423","16.3",31.4,"107","85","89.1","81.4","428","176","392","109",25.8,"11",2.6,2
"Peraza, José","606299","421","11.2",32.5,"106.9","82.8","84.3","83.2","445","154","406","84",20,"7",1.7,1.4
"Bruce, Jay","457803","419","18.4",39.4,"111.5","88.4","92.4","83.6","436","206","400","162",38.8,"44",10.5,7.1
"Reddick, Josh","502210","418","17.8",38.3,"110.2","87.7","90.6","85.8","422","195","386","131",31.6,"16",3.8,3
"Choo, Shin-Soo","425783","418","7.9",35.9,"109.8","88.7","93.7","84.4","447","168","401","158",37.8,"36",8.6,5.7
"Mercer, Jordy","474568","416","9.1",35.3,"106.3","85.8","90.4","82","444","163","394","134",32.4,"13",3.1,2.3
"Núñez, Eduardo","456488","416","6.3",25.2,"111.5","86.4","91.2","84.7","412","139","388","134",32.4,"7",1.7,1.4
