Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Garrett Richards, L (0-2)",4.2,4,4,4,6,2,0,6.48,24,92,48,27,8,13,8,7,4,0,36.0,,,-0.194,0.84,-0.16%,1.16,-1.6
Hirokazu Sawamura,1.1,1,0,0,0,2,0,2.08,4,21,15,9,3,3,2,0,0,0,,2.0,0.0,0.07,0.8,0.06%,1.09,1.0
Phillips Valdez,1.0,0,0,0,0,2,0,2.0,3,13,7,2,3,2,1,0,0,0,,0.0,0.0,0.041,0.52,0.03%,0.71,0.6
Austin Brice,1.0,2,0,0,0,0,0,4.76,5,23,14,9,1,4,4,1,0,0,,0.0,0.0,0.035,0.97,0.03%,1.34,0.6
Josh Taylor,1.0,3,2,2,2,2,0,10.8,8,24,13,6,4,3,2,2,2,0,,0.0,0.0,-0.128,0.71,-0.11%,0.97,-1.4
Team Totals,9.0,10,6,6,8,8,0,6.0,44,173,97,53,19,25,17,10,6,0,36.0,2.0,0.0,-0.176,0.81,-0.15%,1.12,-0.9
