Unnamed: 0,Unnamed: 1,1,2,3,4,5,6,R,H,E
via Sports Logos.net About logos,Miami Marlins,0,2,0,0,0,0,2,5,1
via Sports Logos.net About logos,Boston Red Sox,0,0,2,0,3,X,5,5,0
WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2),WP: Martin Perez (3-2) • LP: Cody Poteet (2-1) • SV: Adam Ottavino (2)
