Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,4.35,50.2,5.6,6423,11.9,114.0,-102.1,1.02,3.0,8.8,13.2%,109.2%,-96.0%,1.61,6.5%,34.4,4.0,0.94,32.8,182,77,233
Boston Red Sox,4.98,-69.0,-6.2,6435,-10.1,104.7,-114.8,0.99,-4.6,-5.6,-2.6%,36.9%,-39.5%,0.57,-3.7%,-81.4,-7.2,0.95,-45.2,163,91,235
Chicago White Sox,4.17,50.1,5.6,6332,3.5,113.7,-110.2,1.04,3.9,-0.5,0.9%,109.7%,-108.8%,1.68,-1.5%,50.8,5.7,0.93,41.4,170,87,209
Cleveland Indians,5.22,-155.1,-14.7,6533,-10.4,101.0,-111.3,0.95,-11.9,1.0,-3.6%,49.9%,-53.5%,0.77,0.6%,-153.4,-14.8,0.97,-134.5,152,98,243
Detroit Tigers,4.14,68.2,7.5,6302,4.8,109.3,-104.6,1.02,4.4,0.3,6.2%,101.1%,-94.9%,1.56,1.4%,53.8,6.0,0.93,51.7,150,91,179
Kansas City Royals,4.6,-14.0,-0.7,6495,-0.7,115.6,-116.4,1.04,-4.5,3.9,-0.9%,24.9%,-25.8%,0.38,0.0%,-24.4,-1.6,0.97,-39.4,173,117,210
Los Angeles Angels of Anaheim,4.31,-35.9,-3.2,6276,-0.9,99.4,-100.3,0.93,-0.8,-0.2,-3.0%,66.9%,-70.0%,1.05,-2.7%,-13.0,-0.8,0.93,-8.4,130,87,227
Minnesota Twins,5.14,-107.4,-10.0,6423,-10.8,99.4,-110.2,0.94,-9.5,-1.9,-2.5%,13.2%,-15.7%,0.21,-7.1%,-128.8,-12.0,0.95,-109.7,146,92,261
New York Yankees,4.12,60.5,6.5,6294,5.4,110.9,-105.5,1.0,4.0,1.5,5.9%,96.4%,-90.5%,1.44,1.7%,58.6,6.3,0.93,51.3,158,124,203
Oakland Athletics,3.79,73.2,7.8,6343,11.9,112.9,-100.9,1.01,8.0,3.8,8.8%,88.6%,-79.9%,1.33,1.7%,92.5,10.3,0.93,97.1,163,96,203
Seattle Mariners,4.02,14.3,1.8,6313,4.8,111.1,-106.3,1.04,3.6,1.0,-0.5%,24.5%,-25.0%,0.38,-3.9%,34.9,4.1,0.94,34.6,148,82,222
Tampa Bay Rays,3.56,107.3,11.3,6212,14.0,108.7,-94.7,0.99,13.2,0.9,8.9%,83.1%,-74.2%,1.26,-0.3%,129.6,14.1,0.92,139.3,151,115,205
Texas Rangers,4.36,52.3,5.7,6279,8.9,104.0,-95.1,0.94,4.4,5.1,0.5%,76.5%,-76.0%,1.17,-2.1%,29.9,3.3,0.92,42.1,147,68,213
Toronto Blue Jays,4.84,-51.7,-4.6,6426,-3.6,102.7,-106.2,0.94,-7.0,3.2,-2.3%,39.7%,-42.0%,0.61,-0.8%,-61.7,-5.5,0.96,-74.6,132,114,249
League Average,4.4,3.0,1.0,6363,2.0,108.0,-106.0,0.99,0.0,2.0,2%,66%,-64%,1.0,1%,2.0,1.0,0.0,6.0,155,96,221
,4.4,43.1,12.4,89086,29.0,1507.5,-1478.5,0.99,6.0,23.3,29.0%,920.5%,-891.5%,1.0,19.5%,21.7,11.9,0.94,78.5,2165,1339,3092
