Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.16,97.4,10.7,6254,11.5,111.6,-100.2,1.0,9.3,2.2,6.2%,64.1%,-57.9%,0.95,0.6%,81.5,8.8,0.92,96.4,134,88,200
Atlanta Braves,3.51,165.3,17.1,6342,20.3,119.6,-99.3,1.06,11.5,7.7,9.5%,51.4%,-42.0%,0.75,5.4%,167.5,17.4,0.94,133.7,182,85,202
Chicago Cubs,4.69,-43.5,-3.8,6451,-7.9,104.7,-112.6,0.98,-4.7,-3.4,-1.2%,14.3%,-15.5%,0.23,-4.0%,-51.1,-4.4,0.96,-47.5,110,80,200
Cincinnati Reds,4.78,-5.6,-0.1,6483,0.2,114.1,-113.9,1.03,-3.5,3.7,-0.2%,67.8%,-68.1%,1.03,1.6%,-39.4,-3.4,0.96,-39.1,150,98,214
Colorado Rockies,5.54,-54.7,-5.2,6521,-8.4,105.8,-114.1,0.97,-13.8,5.2,-2.0%,23.5%,-25.6%,0.36,-2.5%,-140.8,-12.5,0.97,-143.8,155,95,256
Florida Marlins,4.71,-54.2,-5.1,6556,0.3,114.0,-113.7,1.03,-6.8,7.1,-0.9%,42.0%,-42.9%,0.63,0.9%,-50.1,-4.6,0.98,-77.6,140,99,222
Houston Astros,4.29,55.0,6.0,6380,5.5,107.3,-101.8,0.98,3.4,2.2,3.8%,53.3%,-49.5%,0.81,2.3%,44.2,4.9,0.96,40.4,144,109,227
Los Angeles Dodgers,3.97,25.2,2.8,6354,10.3,113.4,-103.0,1.03,4.9,5.1,5.6%,112.9%,-107.3%,1.74,0.4%,52.7,5.9,0.95,44.9,151,83,189
Milwaukee Brewers,5.07,-102.5,-9.5,6563,-8.6,100.1,-108.8,0.95,-13.5,4.4,-1.0%,9.9%,-10.9%,0.16,-1.9%,-116.7,-10.7,0.98,-160.3,109,96,241
Montreal Expos,4.43,37.0,4.1,6437,-0.5,116.6,-117.1,1.07,-0.9,0.4,-2.2%,49.6%,-51.8%,0.77,-2.1%,9.5,1.4,0.96,-7.6,151,99,187
New York Mets,4.37,9.7,1.2,6445,2.2,109.4,-107.2,1.01,-0.6,2.7,2.0%,48.4%,-46.4%,0.74,2.6%,-1.7,0.1,0.96,-1.6,154,93,204
Philadelphia Phillies,4.5,-42.9,-3.9,6405,-4.7,112.8,-117.5,1.06,0.2,-4.7,-2.7%,19.6%,-22.3%,0.31,-7.8%,-28.0,-2.4,0.96,-12.1,171,103,176
Pittsburgh Pirates,4.53,2.0,0.4,6333,-1.3,106.7,-108.0,1.0,-4.2,2.9,0.6%,31.4%,-30.8%,0.48,3.8%,-21.9,-1.9,0.96,-41.4,155,98,205
San Diego Padres,5.03,-153.8,-14.4,6506,-11.3,105.1,-116.4,1.0,-14.4,3.1,-0.7%,21.3%,-22.1%,0.33,2.3%,-134.7,-13.1,0.98,-149.0,161,85,213
San Francisco Giants,3.8,58.8,6.1,6219,8.4,109.2,-100.8,1.02,6.2,2.0,6.2%,113.9%,-107.7%,1.79,-0.1%,82.5,8.8,0.96,74.1,139,95,183
St. Louis Cardinals,4.0,53.5,5.9,6304,9.0,109.0,-100.1,0.99,3.9,5.1,4.7%,76.5%,-71.8%,1.18,2.4%,67.9,7.5,0.95,50.6,134,122,216
League Average,4.46,3.0,1.0,6410,2.0,110.0,-108.0,1.01,-1.0,3.0,2%,50%,-48%,0.76,2%,-5.0,0.0,0.0,-15.0,146,96,208
,4.46,46.8,12.5,102553,25.1,1759.3,-1734.3,1.01,-23.0,47.8,27.6%,799.9%,-772.3%,0.76,34.0%,-78.8,1.8,0.96,-240.0,2340,1528,3335
