Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Anaheim Angels,5.36,7.8,1.0,6631,0.4,117.9,-117.5,1.02,-3.9,4.3,-2.3%,74.1%,-76.4%,1.08,-0.5%,-6.1,-0.2,0.94,-22.8,154,95,192
Baltimore Orioles,5.64,-95.9,-8.0,6614,-2.5,116.4,-118.9,1.03,-5.3,2.8,-3.9%,29.9%,-33.8%,0.45,-4.1%,-84.9,-7.0,0.96,-59.3,152,57,187
Boston Red Sox,4.6,133.0,13.6,6482,15.1,117.2,-102.1,1.01,12.0,3.0,11.5%,99.9%,-88.4%,1.43,1.2%,126.9,13.2,0.91,164.8,142,116,167
Chicago White Sox,5.18,49.1,5.0,6528,8.7,114.2,-105.5,0.98,3.8,5.0,5.8%,47.9%,-42.1%,0.68,6.2%,30.8,3.4,0.94,56.7,166,98,202
Cleveland Indians,5.04,30.6,3.4,6577,3.4,112.2,-108.8,0.98,1.3,2.2,6.6%,124.1%,-117.4%,1.8,3.1%,43.5,4.7,0.94,40.9,150,96,216
Detroit Tigers,5.1,-7.3,-0.4,6452,2.3,111.3,-109.0,0.98,-1.7,4.0,0.0%,19.4%,-19.4%,0.29,0.7%,5.7,0.8,0.94,-1.6,147,84,198
Kansas City Royals,5.74,-50.8,-4.2,6689,-7.5,114.3,-121.8,1.0,-8.6,1.0,-4.0%,39.0%,-43.0%,0.58,-2.6%,-61.8,-5.0,0.94,-85.7,103,67,159
Minnesota Twins,5.43,9.0,1.3,6515,-1.5,109.9,-111.4,0.95,-0.5,-1.0,-1.0%,22.9%,-23.9%,0.33,-3.2%,-11.1,-0.4,0.94,19.2,127,78,207
New York Yankees,5.06,15.7,2.0,6454,3.4,107.1,-103.6,0.94,2.3,1.3,3.1%,79.9%,-76.8%,1.18,-0.3%,27.2,3.0,0.95,45.6,103,81,198
Oakland Athletics,5.05,10.1,1.5,6544,2.3,106.6,-104.4,0.93,0.3,2.1,4.6%,112.5%,-108.0%,1.64,3.0%,21.7,2.6,0.95,17.2,132,88,161
Seattle Mariners,4.81,14.5,1.5,6444,9.0,111.7,-102.6,0.98,5.0,4.2,11.5%,105.0%,-93.5%,1.51,4.6%,48.2,4.9,0.94,60.0,144,89,150
Tampa Bay Devil Rays,5.23,12.3,1.6,6507,-1.3,115.6,-116.9,1.02,-0.4,-0.8,-2.5%,14.3%,-16.8%,0.22,-9.7%,-2.8,0.4,0.94,0.9,136,83,182
Texas Rangers,6.01,-84.9,-7.3,6714,-9.3,116.0,-125.3,1.01,-11.5,2.2,-2.9%,40.6%,-43.5%,0.57,-1.2%,-121.1,-10.4,0.98,-122.9,156,86,173
Toronto Blue Jays,5.6,-17.6,-0.8,6568,2.6,108.4,-105.8,0.94,-4.9,7.6,1.8%,79.4%,-77.6%,1.15,3.7%,-46.3,-3.3,0.94,-37.1,133,78,177
League Average,5.28,2.0,1.0,6551,2.0,113.0,-111.0,0.98,-1.0,3.0,2%,63%,-61%,0.92,2%,-2.0,0.0,0.0,5.0,139,85,184
,5.28,25.7,10.2,91719,25.2,1578.8,-1553.7,0.98,-11.8,37.4,28.2%,888.9%,-860.7%,0.92,34.0%,-29.9,6.7,0.94,75.9,1945,1196,2569
