Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,5.16,-83.7,-7.7,6509,-11.2,104.0,-115.2,0.98,-10.3,-1.2,-3.9%,16.0%,-19.9%,0.27,-9.9%,-122.4,-11.0,0.96,-122.6,142,67,245
Atlanta Braves,3.88,56.3,6.4,6257,4.9,107.4,-102.5,1.01,6.1,-1.3,8.5%,109.5%,-101.1%,1.71,1.2%,61.7,7.2,0.96,64.3,167,89,234
Chicago Cubs,4.73,-10.4,-0.8,6498,3.5,109.2,-105.7,0.99,-1.9,5.5,0.0%,24.9%,-24.9%,0.38,0.1%,-54.2,-5.0,0.97,-43.9,152,76,254
Cincinnati Reds,4.23,22.0,2.4,6352,3.5,111.9,-108.4,1.03,3.3,0.1,3.1%,84.8%,-81.7%,1.3,0.4%,28.5,3.1,0.95,45.2,183,94,224
Colorado Rockies,4.43,74.7,8.0,6372,3.8,114.2,-110.4,1.04,5.1,-1.5,1.1%,77.2%,-76.1%,1.18,-2.2%,30.6,3.4,0.95,58.8,184,108,221
Florida Marlins,4.43,12.3,2.0,6426,-1.2,105.6,-106.8,0.99,-0.1,-1.1,-2.2%,36.9%,-39.1%,0.59,-4.2%,-7.9,0.2,0.97,5.5,161,98,222
Houston Astros,4.5,-26.1,-2.2,6438,-0.8,106.6,-107.4,1.01,-1.3,0.6,-1.0%,9.7%,-10.7%,0.16,-4.9%,-35.8,-3.1,0.97,-19.8,138,110,259
Los Angeles Dodgers,4.27,-15.8,-1.1,6351,5.6,107.0,-101.4,1.0,4.7,0.9,2.4%,56.8%,-54.4%,0.89,0.4%,-4.3,0.2,0.96,44.1,156,92,226
Milwaukee Brewers,4.96,-87.2,-8.4,6518,-7.3,103.8,-111.1,0.99,-8.3,0.9,-3.4%,21.3%,-24.7%,0.35,-2.8%,-104.3,-10.0,0.98,-94.1,153,91,251
New York Mets,4.02,35.4,4.1,6383,6.8,116.0,-109.2,1.06,2.9,3.5,2.5%,56.3%,-53.8%,0.87,1.9%,43.6,5.0,0.97,27.5,163,92,236
Philadelphia Phillies,3.95,69.8,8.1,6248,10.2,108.4,-98.2,0.98,5.7,4.8,10.2%,97.8%,-87.6%,1.47,4.0%,79.2,9.2,0.94,77.5,139,77,235
Pittsburgh Pirates,5.35,-152.7,-14.4,6532,-13.0,97.1,-110.1,0.92,-16.9,2.8,-1.8%,16.7%,-18.5%,0.27,-1.1%,-185.9,-17.4,0.98,-178.4,131,105,281
San Diego Padres,3.59,60.0,6.5,6232,15.0,112.2,-97.3,1.01,8.7,6.1,17.0%,124.7%,-107.8%,1.88,3.9%,97.4,10.9,0.93,88.5,182,108,209
San Francisco Giants,3.6,100.3,10.5,6404,13.3,113.1,-99.8,1.03,9.5,3.4,18.3%,122.6%,-104.4%,1.82,4.4%,120.7,13.0,0.96,92.6,164,97,215
St. Louis Cardinals,3.96,47.9,5.7,6281,4.8,103.1,-98.3,0.96,4.4,0.7,2.3%,83.1%,-80.9%,1.29,0.2%,58.7,7.0,0.96,47.8,134,77,244
Washington Nationals,4.58,-22.9,-1.9,6376,-6.4,105.8,-112.2,1.01,-2.6,-3.8,-2.1%,31.1%,-33.3%,0.5,-2.6%,-48.8,-4.4,0.97,-30.4,155,104,235
League Average,4.35,5.0,1.0,6386,2.0,108.0,-106.0,1.0,1.0,1.0,3%,61%,-57%,0.92,3%,-3.0,1.0,0.0,4.0,156,93,237
,4.35,79.9,17.2,102177,31.3,1725.4,-1694.2,1.0,8.8,22.6,50.8%,969.5%,-918.8%,0.92,47.6%,-43.4,8.3,0.96,62.7,2504,1485,3791
