Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,5.55,-72.8,-6.1,6656,-13.5,107.8,-121.3,0.99,-10.4,-3.2,-2.2%,16.4%,-18.6%,0.25,-5.6%,-138.8,-12.0,0.98,-105.3,158,94,219
Atlanta Braves,4.12,83.3,8.4,6388,9.1,113.2,-104.0,1.01,3.8,5.3,6.5%,59.9%,-53.4%,0.89,5.3%,91.1,9.3,0.96,64.2,144,114,225
Chicago Cubs,4.1,100.3,10.3,6466,9.2,114.4,-105.2,1.02,6.5,2.5,11.6%,128.7%,-117.1%,1.9,2.1%,101.9,10.3,0.94,80.7,162,85,213
Cincinnati Reds,5.6,-156.4,-14.8,6631,-10.9,111.0,-121.9,1.01,-17.2,6.3,-6.7%,56.3%,-63.0%,0.85,-0.6%,-167.8,-16.0,0.96,-189.3,165,112,220
Colorado Rockies,5.7,-68.0,-5.9,6770,-15.0,113.8,-128.9,1.04,-15.2,0.7,-3.7%,16.6%,-20.3%,0.26,-7.3%,-134.4,-11.2,0.98,-159.1,172,91,210
Florida Marlins,4.32,10.6,1.6,6308,1.2,107.1,-105.9,0.99,1.0,0.2,0.7%,70.7%,-70.0%,1.09,-0.4%,31.4,3.8,0.94,22.9,150,73,181
Houston Astros,4.31,49.5,5.5,6392,6.2,113.3,-107.2,1.03,1.9,4.1,7.8%,81.9%,-74.0%,1.21,5.2%,57.0,6.3,0.95,27.7,154,105,234
Los Angeles Dodgers,4.22,28.9,3.5,6351,7.2,106.6,-99.4,0.98,5.5,1.9,7.8%,82.9%,-75.1%,1.26,2.6%,55.5,6.2,0.94,53.8,146,100,213
Milwaukee Brewers,4.7,12.0,1.9,6391,-0.3,110.5,-110.8,0.99,-1.2,1.0,2.4%,45.1%,-42.6%,0.66,2.9%,-7.6,0.0,0.95,10.1,147,78,198
Montreal Expos,4.75,28.8,3.3,6458,0.1,109.5,-109.4,1.0,-1.0,1.1,0.5%,10.1%,-9.6%,0.15,3.5%,-1.0,0.6,0.95,-6.3,148,88,226
New York Mets,4.51,26.1,3.0,6515,1.5,113.3,-111.8,1.03,0.4,1.1,0.9%,47.6%,-46.7%,0.73,1.0%,18.1,2.3,0.97,2.7,162,109,203
Philadelphia Phillies,4.82,10.1,1.2,6480,-0.1,117.5,-117.6,1.05,-0.9,0.8,-1.5%,68.9%,-70.4%,1.03,0.3%,0.8,0.4,0.93,0.5,183,107,186
Pittsburgh Pirates,4.62,-2.9,0.2,6355,-1.5,112.6,-114.2,1.04,0.0,-1.4,-1.1%,24.2%,-25.2%,0.38,-2.5%,-6.8,-0.2,0.98,2.5,158,99,207
San Diego Padres,4.35,-23.4,-1.5,6269,1.7,105.4,-103.7,0.96,-0.4,2.2,0.3%,83.6%,-83.4%,1.27,0.4%,12.4,2.1,0.94,-15.7,137,100,200
San Francisco Giants,4.75,3.4,0.7,6479,-2.3,116.2,-118.6,1.06,-1.8,-0.3,-2.5%,120.4%,-122.9%,1.83,-0.2%,-10.5,-0.5,0.95,-14.3,219,98,204
St. Louis Cardinals,4.07,82.3,8.2,6246,12.7,113.1,-100.4,1.03,8.7,3.7,5.0%,46.7%,-41.7%,0.7,3.2%,93.0,9.4,0.93,93.6,162,95,212
League Average,4.66,7.0,1.0,6447,0.0,112.0,-111.0,1.01,-1.0,2.0,2%,60%,-58%,0.9,2%,-0.0,1.0,0.0,-8.0,160,97,209
,4.66,111.7,19.5,103155,5.3,1785.4,-1780.2,1.01,-20.2,25.4,26.0%,960.1%,-934.1%,0.9,32.8%,-5.7,11.0,0.95,-131.2,2567,1548,3351
