Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.65,72.4,7.6,6363,7.1,113.7,-106.6,1.01,6.4,0.6,5.0%,91.9%,-86.9%,1.37,-0.2%,67.4,7.1,0.92,93.2,132,64,194
Atlanta Braves,4.41,88.4,8.9,6338,12.5,114.9,-102.4,1.01,9.2,3.2,6.9%,59.6%,-52.7%,0.88,2.5%,93.8,9.6,0.93,112.9,144,65,167
Chicago Cubs,5.58,-101.6,-9.1,6640,-7.6,120.6,-128.3,1.07,-7.8,0.7,-2.1%,20.5%,-22.7%,0.31,-4.3%,-98.7,-8.8,0.95,-84.4,177,77,167
Cincinnati Reds,4.69,67.9,6.7,6593,7.4,119.3,-111.9,1.03,-0.3,7.5,3.2%,63.4%,-60.2%,0.92,3.6%,59.7,6.0,0.95,10.6,153,77,157
Colorado Rockies,5.54,76.2,7.6,6536,-0.6,111.3,-112.0,0.97,-3.1,2.4,-3.3%,51.2%,-54.5%,0.75,-2.8%,1.8,0.6,0.93,-5.0,175,87,217
Florida Marlins,4.95,-27.3,-2.2,6538,1.5,121.2,-119.7,1.08,-2.1,3.5,-0.3%,38.2%,-38.4%,0.58,0.8%,-16.4,-1.1,0.97,-28.3,161,88,180
Houston Astros,5.83,-63.1,-5.8,6663,-11.2,110.3,-121.5,0.97,-10.6,-0.9,-2.6%,15.1%,-17.8%,0.23,-7.4%,-111.2,-9.8,0.95,-103.8,138,82,190
Los Angeles Dodgers,4.5,35.7,4.3,6484,3.0,112.5,-109.6,1.0,1.6,1.4,-1.4%,66.4%,-67.8%,1.0,-1.6%,57.3,6.7,0.95,24.3,131,69,171
Milwaukee Brewers,5.07,-10.8,-0.2,6719,1.3,115.7,-114.4,1.01,-3.7,5.0,-1.2%,18.2%,-19.4%,0.27,-2.4%,-14.1,-0.3,0.97,-39.1,154,64,215
Montreal Expos,5.57,-49.3,-4.1,6579,-6.6,106.9,-113.5,0.96,-7.3,0.5,-1.7%,39.0%,-40.7%,0.58,-0.2%,-95.5,-8.0,0.96,-82.0,141,107,204
New York Mets,4.56,49.8,5.3,6504,12.1,120.8,-108.7,1.07,6.4,5.0,8.3%,85.2%,-76.9%,1.25,3.4%,57.7,6.3,0.95,72.5,167,82,162
Philadelphia Phillies,5.12,-9.0,-0.4,6480,-3.4,114.7,-118.1,1.05,-5.1,1.8,-0.6%,13.9%,-14.5%,0.21,-1.3%,-27.0,-2.0,0.94,-51.6,141,79,194
Pittsburgh Pirates,5.48,-53.3,-4.7,6746,-7.6,116.1,-123.7,1.04,-8.1,0.8,-1.2%,24.8%,-26.0%,0.37,-1.1%,-77.8,-6.9,0.98,-82.0,155,89,222
San Diego Padres,5.03,-46.1,-3.9,6645,-1.5,117.7,-119.1,1.04,-2.0,0.5,-1.7%,22.7%,-24.4%,0.34,-4.3%,-30.1,-2.4,0.96,-21.8,177,77,189
San Francisco Giants,4.61,8.8,1.1,6457,4.1,111.8,-107.7,1.01,2.3,1.7,4.3%,70.7%,-66.4%,1.05,3.2%,38.4,4.0,0.95,31.0,130,94,160
St. Louis Cardinals,4.76,46.8,4.7,6402,6.5,111.9,-105.4,0.99,2.3,4.2,3.4%,58.7%,-55.3%,0.86,2.5%,38.1,3.9,0.93,34.8,125,79,182
League Average,5.02,5.0,1.0,6543,1.0,115.0,-114.0,1.02,-1.0,2.0,1%,46%,-45%,0.68,2%,-4.0,0.0,0.0,-7.0,150,80,186
,5.02,85.5,15.8,104687,16.9,1839.4,-1822.7,1.02,-22.0,38.5,15.0%,739.5%,-724.6%,0.68,25.9%,-56.4,4.9,0.95,-118.8,2401,1280,2971
