Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,4.38,-5.6,-0.3,6288,-3.8,113.6,-117.4,1.05,-2.1,-1.5,-3.2%,81.8%,-85.0%,1.27,-1.8%,-4.0,0.0,0.93,-12.0,183,103,187
Boston Red Sox,4.05,56.6,6.4,6385,4.8,110.3,-105.5,1.0,2.5,2.3,4.6%,82.2%,-77.6%,1.24,2.3%,53.0,6.1,0.95,34.1,160,98,193
Chicago White Sox,4.46,22.7,2.7,6441,-2.4,118.0,-120.4,1.08,-4.4,2.3,0.4%,25.4%,-25.1%,0.39,0.9%,-12.3,-0.7,0.95,-27.5,213,88,169
Cleveland Indians,4.09,-0.1,0.4,6368,3.2,108.0,-104.7,0.99,1.3,2.0,1.5%,90.7%,-89.2%,1.4,0.3%,17.9,2.3,0.97,-4.9,166,104,270
Detroit Tigers,3.85,91.9,10.0,6361,8.3,110.1,-101.8,1.01,10.6,-2.4,6.2%,77.0%,-70.8%,1.17,-0.7%,85.8,9.2,0.94,97.8,149,74,205
Houston Astros,5.23,-125.6,-12.0,6590,-14.2,107.8,-122.0,1.01,-14.1,0.1,-2.0%,7.8%,-9.8%,0.12,-11.7%,-162.6,-15.4,0.98,-176.1,168,91,188
Kansas City Royals,3.71,106.2,11.3,6247,9.8,113.9,-104.1,1.04,7.7,1.8,2.2%,51.6%,-49.4%,0.8,-1.7%,107.2,11.4,0.94,88.4,190,76,161
Los Angeles Angels of Anaheim,4.55,-77.4,-7.2,6568,-5.3,112.0,-117.3,1.05,-7.6,2.6,-2.0%,21.9%,-23.9%,0.34,-1.9%,-58.6,-5.3,0.98,-82.0,182,94,220
Minnesota Twins,4.86,-70.6,-6.4,6427,-7.9,104.0,-111.8,0.98,-7.3,-0.7,-2.2%,27.3%,-29.5%,0.43,-3.2%,-86.6,-7.8,0.96,-73.7,155,123,233
New York Yankees,4.14,18.2,2.3,6314,6.9,107.3,-100.4,0.98,2.2,4.9,2.9%,64.1%,-61.2%,0.98,2.0%,25.6,3.1,0.95,21.9,143,104,181
Oakland Athletics,3.86,53.0,5.7,6251,8.4,106.6,-98.2,1.0,5.8,2.7,6.8%,89.3%,-82.6%,1.4,1.5%,63.2,6.9,0.94,61.1,138,81,228
Seattle Mariners,4.65,-107.9,-9.9,6456,-4.4,110.2,-114.6,1.03,-5.4,1.2,-0.8%,20.7%,-21.5%,0.32,0.4%,-87.6,-8.0,0.96,-71.2,181,70,197
Tampa Bay Rays,3.96,24.7,3.0,6320,5.2,110.4,-105.2,1.02,6.9,-1.8,8.1%,95.0%,-86.9%,1.44,1.6%,50.9,5.8,0.94,73.3,162,118,205
Texas Rangers,3.9,80.8,8.9,6341,9.3,113.0,-103.7,1.02,6.6,2.5,8.0%,108.9%,-100.9%,1.65,1.0%,74.1,8.2,0.94,63.6,173,92,210
Toronto Blue Jays,4.67,-24.9,-2.0,6458,-5.7,104.9,-110.6,0.98,-4.9,-1.0,-1.9%,20.4%,-22.3%,0.32,-3.4%,-54.4,-4.7,0.96,-63.0,162,99,226
League Average,4.29,3.0,1.0,6388,1.0,110.0,-109.0,1.02,-0.0,1.0,2%,58%,-56%,0.88,2%,1.0,1.0,0.0,-5.0,168,94,205
,4.29,42.0,13.0,95815,12.4,1650.1,-1637.7,1.02,-2.4,14.6,28.8%,864.2%,-835.4%,0.88,23.6%,11.8,11.0,0.95,-70.3,2525,1415,3073
