Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,5.51,-144.5,-13.6,6448,-18.5,95.2,-113.7,0.91,-14.0,-6.3,-2.1%,14.1%,-16.2%,0.22,-6.3%,-162.5,-15.2,0.96,-160.4,152,131,282
Atlanta Braves,4.07,76.9,8.0,6149,7.3,111.1,-103.8,1.05,8.7,-1.7,5.6%,79.6%,-74.0%,1.25,-0.2%,85.9,8.9,0.94,106.5,210,127,244
Chicago Cubs,5.18,-99.6,-9.2,6384,-6.2,103.5,-109.6,0.96,-11.9,5.5,2.6%,43.7%,-41.2%,0.66,7.3%,-110.8,-10.1,0.97,-131.6,175,132,292
Cincinnati Reds,4.69,46.1,5.0,6410,6.4,112.8,-106.4,1.01,1.4,5.0,3.1%,67.5%,-64.4%,1.01,1.8%,22.3,2.5,0.95,23.7,189,133,257
Colorado Rockies,4.94,9.0,1.1,6225,-2.6,108.1,-110.6,1.01,-0.8,-1.7,-1.8%,11.9%,-13.7%,0.2,-9.3%,-23.3,-1.8,0.95,-1.9,172,125,246
Los Angeles Dodgers,3.46,184.2,19.2,6158,22.6,116.2,-93.6,1.06,18.4,3.0,15.2%,87.6%,-72.4%,1.34,0.4%,210.8,22.1,0.92,208.7,202,180,218
Miami Marlins,4.33,35.5,4.1,6214,0.8,109.4,-108.6,1.03,3.9,-3.2,0.9%,29.2%,-28.4%,0.46,-0.9%,25.0,3.2,0.95,41.7,185,140,270
Milwaukee Brewers,3.85,102.3,11.3,6199,15.6,109.4,-93.7,1.01,13.6,1.9,10.8%,65.1%,-54.3%,1.0,2.6%,122.2,13.6,0.94,145.9,188,107,238
New York Mets,4.12,16.5,2.7,5955,5.6,107.8,-102.2,1.03,5.0,0.4,4.0%,78.0%,-74.0%,1.25,0.4%,34.3,4.7,0.93,51.5,175,148,220
Philadelphia Phillies,4.6,-24.6,-1.8,6192,-0.8,109.3,-110.1,1.02,1.0,-1.8,0.8%,82.1%,-81.3%,1.28,0.3%,-16.8,-0.8,0.94,-1.0,166,121,238
Pittsburgh Pirates,5.14,-108.2,-10.1,6296,-9.8,96.4,-106.2,0.91,-10.0,-0.8,-0.1%,14.9%,-15.0%,0.23,0.3%,-116.0,-10.6,0.96,-123.3,135,154,294
San Diego Padres,4.37,-31.1,-2.6,6229,2.1,105.1,-103.0,0.97,0.0,2.1,3.1%,67.8%,-64.8%,1.04,2.2%,10.9,1.5,0.94,-0.9,156,195,273
San Francisco Giants,3.67,140.8,14.5,6143,18.3,115.9,-97.7,1.04,16.6,1.0,13.4%,83.1%,-69.8%,1.24,0.8%,158.2,16.5,0.92,185.5,213,153,233
St. Louis Cardinals,4.15,-0.3,0.4,6190,8.6,110.3,-101.7,1.02,4.4,4.0,4.5%,56.4%,-51.9%,0.88,2.3%,40.5,4.7,0.97,49.8,166,143,248
Washington Nationals,5.06,-122.1,-11.5,6242,-14.0,103.3,-117.3,1.01,-8.3,-5.6,-2.2%,30.7%,-32.9%,0.49,-3.2%,-119.8,-11.4,0.95,-108.6,182,137,250
League Average,4.48,5.0,1.0,6229,2.0,108.0,-105.0,1.0,2.0,0.0,4%,54%,-50%,0.83,2%,11.0,2.0,0.0,19.0,178,142,254
,4.48,80.6,17.5,93434,35.4,1613.7,-1578.3,1.0,27.9,7.4,57.5%,811.7%,-754.3%,0.83,33.3%,160.9,27.7,0.95,285.7,2666,2126,3803
