Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,4.28,11.4,1.6,6236,3.7,106.7,-103.0,0.98,-0.1,3.9,0.8%,55.4%,-54.6%,0.85,1.1%,7.0,1.1,0.94,-0.6,127,108,218
Boston Red Sox,4.65,-2.9,0.1,6468,0.4,106.4,-106.0,0.97,-3.6,4.0,-0.3%,29.9%,-30.2%,0.46,1.8%,-28.7,-2.3,0.95,-49.7,156,95,224
Chicago White Sox,4.33,-14.9,-1.2,6378,3.4,109.4,-106.0,1.0,-1.2,4.6,-0.1%,29.9%,-30.1%,0.46,0.8%,-9.0,-0.6,0.96,-16.2,147,79,188
Cleveland Indians,3.98,91.6,10.0,6074,7.1,97.2,-90.1,0.9,10.2,-2.3,0.3%,27.7%,-27.4%,0.45,-4.9%,76.8,8.4,0.91,113.0,115,91,270
Detroit Tigers,4.99,-103.4,-9.6,6391,-5.3,103.3,-108.6,0.96,-7.6,2.1,-0.5%,49.6%,-50.1%,0.75,3.1%,-105.0,-9.9,0.94,-87.9,149,94,262
Houston Astros,3.81,56.2,6.2,6155,3.8,104.6,-100.8,1.0,7.1,-3.3,1.1%,105.8%,-104.7%,1.69,-3.8%,68.4,7.7,0.93,78.6,171,118,193
Kansas City Royals,3.96,75.4,8.0,6306,9.3,111.6,-102.3,1.01,5.5,3.7,7.0%,56.6%,-49.6%,0.85,4.5%,76.3,7.9,0.94,65.1,183,100,211
Los Angeles Angels of Anaheim,4.17,-22.0,-2.1,6314,4.6,107.0,-102.4,1.0,0.8,3.9,1.3%,88.8%,-87.5%,1.4,0.5%,2.3,0.4,0.95,-1.8,173,102,243
Minnesota Twins,4.32,2.5,0.4,6317,3.6,106.8,-103.2,0.98,2.3,1.4,1.6%,76.3%,-74.7%,1.18,-0.2%,0.7,0.4,0.95,19.3,176,103,241
New York Yankees,4.31,11.5,1.6,6395,7.7,107.9,-100.2,0.98,-0.3,8.2,6.6%,88.4%,-81.9%,1.34,5.2%,13.2,1.9,0.94,-10.3,155,106,236
Oakland Athletics,4.5,-43.7,-3.7,6321,-7.8,101.7,-109.5,0.97,-1.5,-6.5,-1.9%,18.7%,-20.6%,0.3,-10.1%,-45.0,-3.8,0.95,-23.4,135,95,257
Seattle Mariners,4.48,-53.7,-5.2,6415,-0.6,114.6,-115.2,1.06,-2.4,1.8,-0.4%,32.2%,-32.6%,0.5,0.3%,-39.1,-3.7,0.95,-42.7,203,114,192
Tampa Bay Rays,3.96,34.2,3.8,6303,5.3,116.2,-110.9,1.07,5.6,-0.7,4.3%,65.1%,-60.8%,1.0,1.1%,47.4,5.3,0.93,58.1,213,135,183
Texas Rangers,4.52,-0.5,0.3,6399,3.4,110.6,-107.2,1.0,-1.4,4.8,5.5%,84.5%,-79.0%,1.26,5.3%,-20.1,-1.6,0.96,-23.8,183,111,204
Toronto Blue Jays,4.14,43.3,5.1,6174,0.0,96.0,-96.0,0.91,4.8,-4.9,3.3%,68.6%,-65.2%,1.06,0.0%,38.8,4.7,0.92,58.1,135,98,236
League Average,4.29,6.0,1.0,6310,3.0,107.0,-104.0,0.99,1.0,1.0,2%,58%,-57%,0.9,1%,6.0,1.0,0.0,9.0,161,103,224
,4.29,85.0,15.2,94646,38.4,1600.0,-1561.6,0.99,18.1,20.8,28.3%,877.4%,-849.0%,0.9,16.0%,84.1,15.9,0.94,135.7,2421,1549,3358
