Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.7,-11.9,-0.5,6272,-0.3,108.3,-108.6,1.0,-0.2,-0.1,0.2%,80.3%,-80.2%,1.23,0.4%,1.1,0.9,0.93,14.9,154,141,252
Atlanta Braves,4.42,51.0,5.6,6367,4.1,110.7,-106.5,1.0,6.4,-2.3,3.8%,48.4%,-44.6%,0.72,1.4%,59.0,6.4,0.94,74.0,171,134,227
Chicago Cubs,4.46,55.5,5.8,6301,3.5,106.4,-102.9,0.97,6.4,-2.8,0.7%,64.7%,-64.0%,1.0,-3.2%,51.8,5.4,0.94,73.3,154,104,252
Cincinnati Reds,5.07,-29.3,-2.3,6535,2.1,118.6,-116.4,1.05,-5.3,7.3,0.2%,77.9%,-77.7%,1.16,3.3%,-42.2,-3.3,0.96,-65.1,241,149,215
Colorado Rockies,5.91,-79.6,-7.4,6533,-14.8,106.2,-121.0,0.96,-14.6,-0.7,-1.9%,15.0%,-16.8%,0.22,-3.5%,-158.8,-13.8,0.96,-161.0,152,142,250
Los Angeles Dodgers,4.31,55.1,6.3,6226,8.2,106.8,-98.6,0.96,8.1,0.4,2.9%,60.0%,-57.1%,0.91,-1.4%,83.1,9.2,0.92,106.4,153,161,237
Miami Marlins,4.46,47.0,5.1,6303,8.9,116.1,-107.3,1.03,3.5,5.1,5.6%,77.5%,-71.9%,1.15,2.9%,48.6,5.4,0.93,43.4,210,122,212
Milwaukee Brewers,3.99,98.2,10.2,6193,16.0,112.3,-96.2,1.01,11.8,4.0,8.6%,68.7%,-60.1%,1.03,1.6%,118.6,12.5,0.91,131.5,173,130,215
New York Mets,4.5,-7.1,0.0,6379,1.0,109.3,-108.2,1.01,-0.4,1.5,-1.1%,35.4%,-36.4%,0.54,-1.1%,10.4,1.8,0.95,-3.4,152,138,234
Philadelphia Phillies,4.41,39.8,4.4,6252,6.1,111.3,-105.2,1.01,6.8,-0.7,3.4%,54.9%,-51.5%,0.83,0.0%,50.3,5.6,0.93,71.7,181,118,224
Pittsburgh Pirates,4.88,-23.2,-1.9,6440,1.5,110.5,-108.9,1.0,-1.2,2.7,0.5%,36.6%,-36.1%,0.55,2.5%,-33.3,-2.8,0.96,-18.4,170,132,227
San Diego Padres,4.0,63.5,7.0,6287,6.2,108.7,-102.4,0.99,7.3,-1.0,0.8%,35.8%,-35.0%,0.55,-2.1%,99.4,11.2,0.95,96.5,161,99,248
San Francisco Giants,4.44,22.6,2.5,6288,3.7,109.7,-106.0,0.99,2.2,1.6,1.8%,68.5%,-66.6%,1.03,0.6%,37.3,4.1,0.94,43.3,167,145,184
St. Louis Cardinals,5.12,-74.3,-6.6,6458,-6.0,109.2,-115.2,1.0,-7.7,1.7,-1.8%,18.9%,-20.6%,0.29,-4.5%,-71.9,-6.4,0.96,-77.8,164,111,209
Washington Nationals,5.22,-105.0,-9.7,6540,-8.0,106.8,-114.8,0.98,-12.4,4.2,-2.0%,16.7%,-18.7%,0.26,-3.3%,-100.4,-9.3,0.97,-130.7,167,126,233
League Average,4.66,7.0,1.0,6358,2.0,110.0,-108.0,1.0,1.0,1.0,1%,51%,-49%,0.76,1%,10.0,2.0,0.0,13.0,171,130,228
,4.66,102.4,18.5,95374,32.3,1650.7,-1618.4,1.0,10.6,21.8,21.8%,759.3%,-737.4%,0.76,15.8%,153.1,26.9,0.94,198.5,2570,1952,3419
