Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,4.9,6.8,1.0,2322,-1.5,38.8,-40.3,0.97,-0.9,-0.7,-1.3%,22.7%,-24.0%,0.96,-0.9%,-5.3,-0.2,0.94,0.1,69,58,80
Boston Red Sox,5.85,-37.6,-3.0,2466,-5.4,41.5,-46.9,1.01,-7.6,2.3,-1.8%,9.9%,-11.7%,0.41,0.0%,-57.8,-4.6,0.96,-83.7,60,65,107
Chicago White Sox,4.1,39.3,4.3,2287,3.4,40.0,-36.5,0.97,3.7,-0.2,2.1%,22.2%,-20.0%,0.88,0.2%,38.3,4.3,0.94,52.5,66,47,111
Cleveland Indians,3.48,72.5,7.6,2229,9.3,43.2,-33.8,1.02,6.5,2.6,5.4%,22.7%,-17.3%,0.89,2.2%,81.5,8.7,0.89,78.5,67,52,62
Detroit Tigers,5.48,-48.5,-4.3,2240,-3.9,34.6,-38.5,0.9,-4.0,-0.4,-2.9%,19.7%,-22.6%,0.86,-1.1%,-52.0,-4.5,0.95,-45.1,58,47,113
Houston Astros,4.58,10.1,1.3,2308,1.1,44.4,-43.3,1.11,1.0,0.0,2.3%,28.7%,-26.4%,1.18,1.3%,13.4,1.7,0.94,15.6,75,45,73
Kansas City Royals,4.53,21.8,2.4,2294,2.1,38.0,-35.9,0.93,0.3,1.9,0.2%,14.1%,-13.9%,0.58,0.5%,9.9,1.4,0.94,5.3,53,73,106
Los Angeles Angels,5.35,-27.9,-2.2,2350,-3.1,40.0,-43.1,1.01,-0.7,-2.4,-1.8%,13.7%,-15.6%,0.6,-2.8%,-33.0,-2.6,0.94,-15.1,74,61,93
Minnesota Twins,3.58,49.5,5.1,2205,6.3,40.8,-34.5,1.03,6.7,-0.6,4.0%,21.2%,-17.3%,0.88,0.5%,60.5,6.4,0.92,73.2,69,62,71
New York Yankees,4.5,-4.8,-0.2,2202,0.9,37.0,-36.1,0.94,0.2,0.7,0.8%,22.2%,-21.4%,0.93,0.8%,-0.1,0.3,0.93,4.0,50,45,80
Oakland Athletics,3.87,28.4,3.1,2222,6.5,39.2,-32.6,0.99,4.4,2.2,3.6%,15.4%,-11.8%,0.64,3.1%,41.1,4.5,0.93,47.4,61,48,72
Seattle Mariners,5.05,-36.5,-3.2,2334,-1.6,37.9,-39.6,0.96,-1.7,0.0,-2.4%,18.0%,-20.4%,0.78,-2.0%,-31.1,-2.6,0.96,-28.6,54,47,88
Tampa Bay Rays,3.82,36.0,3.7,2282,7.4,43.5,-36.1,1.05,3.5,3.5,2.6%,18.8%,-16.3%,0.77,1.5%,50.4,5.4,0.93,41.9,84,66,69
Texas Rangers,5.2,-26.4,-2.2,2337,-3.6,35.2,-38.8,0.9,-1.6,-2.4,-1.4%,13.6%,-14.9%,0.58,-2.0%,-36.0,-3.1,0.96,-18.8,37,49,118
Toronto Blue Jays,5.2,-18.4,-1.3,2384,1.0,46.3,-45.3,1.12,-1.4,2.4,1.0%,30.3%,-29.3%,1.21,1.4%,-23.6,-1.8,0.96,-22.9,87,59,80
League Average,4.63,4.0,1.0,2297,1.0,40.0,-39.0,0.99,1.0,1.0,1%,20%,-19%,0.81,0%,4.0,1.0,0.0,7.0,64,55,88
,4.63,64.2,12.0,34462,19.1,600.3,-581.3,0.99,8.6,10.6,10.5%,293.3%,-282.8%,0.81,7.4%,56.2,13.2,0.94,104.3,964,824,1323
