Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.58,-75.4,-7.6,6339,-9.9,105.8,-115.7,1.02,-6.1,-3.7,-2.7%,12.4%,-15.1%,0.2,-9.3%,-99.9,-10.0,0.96,-75.5,177,81,230
Atlanta Braves,3.69,32.3,3.7,6321,6.6,113.0,-106.4,1.08,3.0,3.1,4.7%,90.0%,-85.3%,1.43,1.3%,38.1,4.4,0.97,23.4,172,87,213
Chicago Cubs,4.36,-23.5,-1.5,6447,-0.6,106.5,-107.2,1.01,0.1,-0.7,-0.8%,16.8%,-17.6%,0.28,-4.0%,-55.1,-4.7,0.97,-17.5,176,107,254
Cincinnati Reds,3.78,24.9,3.2,6245,4.1,108.7,-104.6,1.03,3.0,1.0,0.9%,50.6%,-49.7%,0.81,-0.4%,25.5,3.3,0.95,17.0,152,74,202
Colorado Rockies,5.05,-69.0,-7.0,6458,-17.3,102.4,-119.7,0.98,-14.7,-2.8,-5.8%,30.4%,-36.3%,0.48,-5.0%,-136.6,-12.9,0.97,-146.1,193,86,268
Los Angeles Dodgers,3.81,12.0,2.2,6304,6.1,107.7,-101.6,1.01,3.8,2.3,5.6%,78.1%,-72.5%,1.22,2.2%,20.3,3.6,0.95,21.6,156,84,256
Miami Marlins,4.16,-11.6,-0.6,6424,-2.2,111.5,-113.7,1.05,-1.7,-0.4,-1.8%,53.6%,-55.5%,0.85,-0.9%,-30.3,-2.6,0.97,-32.5,181,91,215
Milwaukee Brewers,4.06,16.7,2.0,6300,2.3,105.8,-103.5,0.99,2.2,0.1,0.0%,88.9%,-88.9%,1.4,-1.0%,-1.8,0.1,0.94,10.1,156,94,228
New York Mets,3.81,-3.1,-0.1,6349,0.3,112.1,-111.8,1.05,-2.2,2.4,-1.2%,38.0%,-39.2%,0.6,0.0%,7.3,1.0,0.96,-22.1,182,98,209
Philadelphia Phillies,4.24,-10.5,-0.5,6483,-0.8,112.8,-113.6,1.08,1.1,-1.9,-1.1%,29.6%,-30.7%,0.48,-1.6%,-37.9,-3.2,0.98,-10.6,175,67,219
Pittsburgh Pirates,3.9,14.0,1.8,6376,2.2,112.6,-110.4,1.08,3.0,-1.0,0.8%,81.7%,-80.9%,1.3,-1.3%,10.4,1.5,0.96,19.5,172,98,182
San Diego Padres,3.56,19.0,2.3,6243,5.4,102.7,-97.4,0.98,5.6,-0.1,0.6%,23.7%,-23.1%,0.37,-1.7%,36.4,4.3,0.96,40.1,146,104,231
San Francisco Giants,3.79,-5.1,-0.2,6171,1.5,101.3,-99.8,0.97,3.1,-1.5,0.7%,81.3%,-80.5%,1.29,-1.3%,13.7,1.9,0.94,16.6,131,109,235
St. Louis Cardinals,3.72,30.4,3.8,6210,9.8,115.3,-105.6,1.1,7.2,1.7,8.7%,101.7%,-93.0%,1.62,1.1%,38.9,5.0,0.97,54.8,186,92,207
Washington Nationals,3.43,110.1,12.2,6178,11.4,105.5,-94.1,0.98,12.8,-1.1,7.2%,69.4%,-62.2%,1.08,-0.5%,106.5,11.7,0.93,130.8,156,106,196
League Average,4.0,4.0,1.0,6323,1.0,108.0,-107.0,1.03,1.0,-0.0,1%,56%,-55%,0.89,0%,-4.0,0.0,0.0,2.0,167,92,223
,4.0,61.2,13.8,94848,18.9,1623.8,-1604.9,1.03,20.2,-1.8,15.8%,846.2%,-830.5%,0.89,6.3%,-64.5,3.5,0.96,29.5,2511,1378,3345
