Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,5.49,-90.4,-8.7,6633,-11.8,111.3,-123.1,1.01,-10.1,-1.5,-2.0%,24.5%,-26.5%,0.36,-1.5%,-142.3,-13.2,0.96,-119.0,179,105,291
Atlanta Braves,4.84,-52.5,-4.6,6508,-2.9,106.2,-109.1,1.0,-2.9,0.1,-1.2%,7.5%,-8.8%,0.12,-9.3%,-71.5,-6.4,0.95,-44.9,203,109,275
Chicago Cubs,3.43,168.7,17.9,6221,18.2,103.8,-85.6,0.94,17.3,2.0,7.4%,39.4%,-31.9%,0.59,3.5%,169.6,18.1,0.91,182.2,143,110,250
Cincinnati Reds,5.27,-98.7,-8.7,6586,-12.0,104.3,-116.3,0.96,-17.1,4.7,-2.7%,13.3%,-16.0%,0.21,-4.9%,-138.1,-12.1,0.97,-178.9,135,84,265
Colorado Rockies,5.31,-12.8,-1.0,6514,-11.4,103.4,-114.8,0.95,-6.7,-5.3,-3.6%,36.4%,-40.0%,0.55,-3.7%,-96.4,-8.4,0.96,-75.4,154,106,273
Los Angeles Dodgers,3.94,60.6,7.2,6221,8.5,103.9,-95.4,0.97,10.9,-2.1,6.2%,73.8%,-67.6%,1.14,-1.2%,72.9,8.8,0.92,109.8,175,158,273
Miami Marlins,4.24,-7.9,-0.3,6371,0.0,113.1,-113.1,1.06,-0.9,0.9,0.0%,67.8%,-67.7%,1.06,0.2%,3.1,0.9,0.97,-9.6,182,138,239
Milwaukee Brewers,4.52,17.4,2.2,6421,1.2,111.0,-109.8,1.01,-4.8,6.1,-0.8%,18.9%,-19.6%,0.29,0.5%,-18.3,-1.2,0.96,-63.7,172,100,241
New York Mets,3.81,78.3,8.4,6305,11.8,111.6,-99.8,1.0,8.1,3.6,7.4%,80.3%,-72.9%,1.21,1.2%,85.2,9.3,0.93,88.3,188,118,232
Philadelphia Phillies,4.91,-67.5,-6.3,6356,-2.3,108.4,-110.7,1.0,-6.1,3.8,1.4%,31.7%,-30.3%,0.48,5.3%,-90.2,-8.5,0.95,-79.2,167,112,226
Pittsburgh Pirates,4.68,-19.6,-1.6,6524,-2.8,111.4,-114.2,1.0,-9.3,6.5,-1.1%,56.6%,-57.6%,0.84,3.7%,-42.4,-3.7,0.97,-89.9,161,135,229
San Diego Padres,4.75,-75.3,-6.6,6433,-4.5,104.0,-108.5,0.96,-7.0,2.4,0.5%,18.5%,-18.0%,0.28,4.8%,-73.3,-6.5,0.96,-83.3,155,111,244
San Francisco Giants,3.9,65.8,7.3,6224,9.3,116.0,-106.7,1.07,9.2,-0.5,8.9%,94.7%,-85.8%,1.45,0.7%,79.0,8.9,0.92,88.4,239,126,210
St. Louis Cardinals,4.4,-2.1,0.4,6349,-1.5,107.1,-108.7,1.0,0.9,-2.5,-1.1%,74.8%,-75.9%,1.17,-1.4%,-4.0,0.4,0.96,6.3,131,108,242
Washington Nationals,3.78,123.6,12.9,6206,9.7,110.8,-101.1,1.01,12.2,-2.6,6.6%,63.0%,-56.4%,0.95,-0.6%,117.2,12.2,0.93,134.0,176,113,220
League Average,4.48,6.0,1.0,6391,1.0,108.0,-108.0,1.0,-0.0,1.0,2%,47%,-45%,0.71,2%,-10.0,-0.0,0.0,-9.0,171,116,247
,4.48,87.5,18.6,95872,9.5,1626.4,-1616.9,1.0,-6.5,16.0,26.0%,701.0%,-675.0%,0.71,31.3%,-149.5,-1.3,0.95,-134.8,2560,1733,3710
