Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,6.06,-144.1,-12.7,6594,-15.6,100.5,-116.1,0.89,-18.4,1.0,-0.9%,12.0%,-12.9%,0.17,-1.1%,-184.9,-16.2,0.93,-212.7,150,123,260
Boston Red Sox,5.11,28.4,3.0,6597,1.8,115.2,-113.4,1.0,1.9,-0.2,-0.5%,47.5%,-48.0%,0.69,-2.2%,0.9,0.4,0.93,40.0,184,158,290
Chicago White Sox,5.17,-48.7,-4.0,6345,-4.1,101.1,-105.2,0.92,-7.5,3.1,-1.6%,22.6%,-24.2%,0.35,-0.8%,-61.3,-5.1,0.95,-69.1,152,112,272
Cleveland Indians,4.06,147.3,14.6,6141,14.4,107.8,-93.4,0.94,10.3,5.0,11.6%,87.6%,-76.0%,1.27,2.8%,148.4,14.8,0.9,148.6,157,125,240
Detroit Tigers,5.68,-77.1,-6.7,6555,-12.0,106.0,-118.0,0.94,-11.9,-0.8,0.2%,19.2%,-19.0%,0.28,2.9%,-122.5,-10.7,0.94,-127.8,174,130,273
Houston Astros,3.95,160.8,16.4,6142,19.4,109.7,-90.3,0.95,17.7,2.8,9.7%,53.4%,-43.6%,0.77,2.1%,179.3,18.5,0.88,207.9,154,124,214
Kansas City Royals,5.36,-54.6,-4.8,6461,-9.5,107.1,-116.6,0.97,-7.3,-2.5,-1.7%,11.1%,-12.9%,0.17,-9.1%,-77.6,-6.8,0.95,-73.5,173,109,238
Los Angeles Angels,5.36,-66.1,-5.8,6550,-3.3,104.5,-107.8,0.92,-8.8,5.2,-0.9%,28.9%,-29.7%,0.42,1.6%,-73.1,-6.4,0.93,-81.7,159,166,264
Minnesota Twins,4.65,52.9,5.5,6430,9.9,116.7,-106.8,1.01,5.2,4.7,5.6%,67.6%,-62.1%,0.97,2.5%,48.1,5.2,0.93,57.5,193,127,204
New York Yankees,4.56,29.8,3.2,6301,8.5,107.2,-98.7,0.93,1.6,7.5,4.8%,53.8%,-49.0%,0.77,4.9%,46.6,5.0,0.91,24.3,166,146,233
Oakland Athletics,4.2,70.9,7.3,6373,9.0,116.9,-108.0,1.04,10.6,-1.9,5.1%,75.0%,-69.9%,1.11,-1.7%,103.2,10.9,0.92,113.7,216,108,223
Seattle Mariners,5.51,-118.8,-10.7,6461,-9.9,100.3,-110.1,0.91,-11.8,0.9,-2.8%,24.6%,-27.3%,0.37,-1.7%,-125.3,-11.6,0.93,-125.0,150,136,252
Tampa Bay Rays,4.05,125.7,12.4,6278,17.1,117.9,-100.8,1.02,15.9,0.8,13.4%,94.4%,-81.0%,1.36,0.4%,138.2,14.1,0.92,170.5,222,173,208
Texas Rangers,5.42,17.3,2.3,6553,0.8,108.4,-107.6,0.94,-7.3,8.1,0.4%,40.6%,-40.1%,0.58,4.3%,-47.8,-3.5,0.95,-70.0,126,114,259
Toronto Blue Jays,5.11,-36.8,-2.6,6528,-3.8,104.1,-107.9,0.93,-6.3,2.2,0.5%,15.2%,-14.7%,0.23,4.0%,-47.5,-3.6,0.94,-78.0,166,144,281
League Average,4.95,6.0,1.0,6421,2.0,108.0,-107.0,0.95,-1.0,3.0,3%,44%,-41%,0.63,4%,-5.0,0.0,0.0,-5.0,169,133,247
,4.95,86.9,17.5,96309,22.9,1623.4,-1600.5,0.95,-16.0,39.9,43.0%,653.4%,-610.4%,0.63,55.9%,-75.3,4.8,0.93,-75.3,2542,1995,3711
