Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,4.25,12.8,1.8,6195,4.7,106.3,-101.7,0.99,-0.3,5.0,1.5%,40.5%,-39.1%,0.63,2.1%,11.8,1.9,0.94,-7.7,179,136,226
Boston Red Sox,4.86,-43.1,-4.0,6366,0.2,109.3,-109.1,1.01,-3.0,3.1,0.2%,39.4%,-39.2%,0.6,0.2%,-70.8,-6.5,0.95,-44.0,181,137,258
Chicago White Sox,4.43,-1.9,0.3,6362,2.3,106.2,-103.9,0.99,1.5,0.9,0.2%,49.0%,-48.8%,0.77,-0.4%,-8.2,-0.2,0.95,11.9,171,130,248
Cleveland Guardians,3.91,51.6,6.0,6166,10.2,107.5,-97.3,0.99,8.0,2.2,4.1%,58.6%,-54.5%,0.9,-0.3%,69.0,8.0,0.92,90.3,167,94,246
Detroit Tigers,4.4,-44.7,-4.1,6227,-5.4,97.7,-103.1,0.95,-2.9,-2.7,-1.1%,12.4%,-13.6%,0.2,-5.6%,-50.1,-4.6,0.96,-33.9,164,124,292
Houston Astros,3.2,154.3,16.7,6024,20.1,107.1,-87.0,0.99,17.7,2.6,6.9%,39.3%,-32.5%,0.61,1.6%,173.8,19.0,0.92,187.6,160,122,198
Kansas City Royals,5.0,-88.5,-8.4,6433,-7.8,104.8,-112.6,0.98,-10.6,2.7,-0.9%,13.4%,-14.3%,0.21,-0.6%,-123.0,-11.5,0.98,-127.3,167,130,263
Los Angeles Angels,4.12,36.8,4.3,6227,3.2,106.3,-103.1,1.0,4.7,-1.6,-1.4%,29.9%,-31.4%,0.48,-4.1%,30.0,3.7,0.95,43.2,157,121,212
Minnesota Twins,4.22,-9.3,-0.6,6227,0.6,104.6,-104.1,0.98,2.5,-2.0,-0.5%,60.3%,-60.8%,0.94,-1.5%,2.0,0.6,0.94,15.0,167,148,234
New York Yankees,3.5,107.3,11.5,6083,13.0,115.5,-102.5,1.08,15.6,-3.6,8.1%,44.9%,-36.9%,0.68,2.5%,138.8,14.9,0.93,168.0,184,141,182
Oakland Athletics,4.75,-118.2,-11.5,6306,-8.5,101.1,-109.5,0.95,-8.2,-0.7,-0.7%,15.0%,-15.7%,0.23,-1.0%,-102.0,-10.1,0.96,-96.4,160,124,246
Seattle Mariners,3.85,27.3,3.0,6157,7.9,107.2,-99.3,0.99,3.6,4.3,4.2%,49.1%,-44.9%,0.76,3.4%,57.4,6.3,0.92,28.4,174,113,249
Tampa Bay Rays,3.79,33.6,4.4,6098,9.6,108.9,-99.3,1.03,10.1,-0.8,6.7%,63.6%,-56.9%,0.99,0.7%,66.5,8.3,0.93,85.3,197,156,219
Texas Rangers,4.59,-43.9,-3.7,6380,-9.7,104.6,-114.4,1.0,-6.1,-3.6,-2.4%,25.4%,-27.8%,0.4,-4.1%,-55.4,-4.8,0.96,-56.3,162,142,228
Toronto Blue Jays,4.19,6.6,1.7,6213,4.0,108.3,-104.3,1.01,0.9,3.1,2.6%,64.3%,-61.7%,0.99,2.3%,14.7,2.7,0.94,-9.0,180,153,251
League Average,4.2,5.0,1.0,6231,3.0,106.0,-103.0,1.0,2.0,1.0,2%,40%,-39%,0.62,1%,10.0,2.0,0.0,17.0,171,131,237
,4.2,80.8,17.3,93464,44.5,1595.5,-1551.1,1.0,33.7,10.9,27.2%,605.2%,-578.1%,0.62,16.0%,154.4,27.8,0.94,255.1,2570,1971,3552
