Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,5.41,-86.8,-7.6,6546,-8.7,104.5,-113.2,0.95,-9.5,0.4,-1.7%,19.7%,-21.3%,0.3,-3.6%,-102.8,-8.9,0.96,-105.5,152,89,243
Boston Red Sox,4.54,54.8,5.9,6521,8.4,114.6,-106.3,1.01,1.8,6.5,9.0%,98.4%,-89.4%,1.44,4.7%,57.6,6.1,0.96,42.4,146,95,222
Chicago White Sox,4.52,78.1,8.0,6408,6.0,109.8,-103.8,0.98,2.4,3.8,1.2%,65.8%,-64.6%,0.99,0.6%,58.5,6.1,0.94,47.8,136,79,200
Cleveland Indians,5.34,-130.9,-11.8,6560,-11.3,101.0,-112.3,0.94,-11.6,-0.4,-3.2%,19.4%,-22.7%,0.31,-6.0%,-110.6,-10.1,0.97,-104.2,128,84,233
Detroit Tigers,4.57,34.1,3.9,6449,6.1,115.4,-109.3,1.02,1.5,4.4,3.0%,132.3%,-129.3%,1.99,0.6%,34.5,4.0,0.96,34.7,138,105,196
Kansas City Royals,5.2,-69.4,-5.5,6526,-7.1,105.9,-113.0,0.97,-5.4,-1.9,-1.4%,29.4%,-30.8%,0.44,-2.2%,-86.7,-7.0,0.97,-56.3,136,71,219
Los Angeles Angels of Anaheim,4.7,-3.7,0.2,6506,4.2,112.8,-108.6,1.01,-1.0,5.1,2.1%,74.7%,-72.5%,1.12,3.1%,9.7,1.7,0.96,0.5,130,111,193
Minnesota Twins,4.69,-7.4,-0.3,6478,2.8,108.6,-105.7,0.96,-0.9,3.9,3.4%,104.3%,-100.9%,1.48,2.8%,7.9,1.2,0.94,7.5,154,110,216
New York Yankees,4.65,49.8,5.5,6507,9.4,114.0,-104.5,1.0,4.7,4.8,5.9%,69.3%,-63.4%,1.01,3.8%,48.2,5.3,0.95,40.8,165,100,196
Oakland Athletics,4.7,10.4,1.6,6427,0.7,102.9,-102.2,0.93,1.6,-0.8,0.1%,23.6%,-23.6%,0.36,-0.4%,8.9,1.6,0.95,27.6,132,107,249
Seattle Mariners,4.27,57.5,6.4,6350,9.2,122.4,-113.2,1.1,5.5,2.8,3.3%,61.1%,-57.8%,0.92,1.7%,64.5,7.4,0.94,65.2,177,90,143
Tampa Bay Rays,4.65,-4.9,-0.1,6321,0.8,105.8,-105.1,0.98,3.0,-2.3,0.8%,60.0%,-59.3%,0.92,-0.4%,10.6,1.5,0.94,38.7,180,102,228
Texas Rangers,4.57,49.5,5.2,6380,6.3,108.5,-102.3,0.95,1.4,5.2,6.9%,94.1%,-87.2%,1.37,4.3%,46.6,5.0,0.94,33.5,128,109,199
Toronto Blue Jays,4.76,-0.8,0.8,6476,-2.0,109.7,-111.7,0.99,-1.0,-1.0,1.1%,47.2%,-46.1%,0.7,1.3%,8.6,1.8,0.95,2.8,140,88,217
League Average,4.75,2.0,1.0,6461,2.0,110.0,-108.0,0.99,-1.0,2.0,2%,64%,-62%,0.95,2%,4.0,1.0,0.0,5.0,146,96,211
,4.75,30.5,12.0,90455,24.9,1535.8,-1511.1,0.99,-7.6,32.8,30.4%,899.4%,-869.0%,0.95,31.5%,55.7,15.7,0.95,75.5,2042,1340,2954
