Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,5.19,-90.9,-8.1,6471,-3.9,101.9,-105.8,0.91,-8.9,4.6,-1.8%,55.3%,-57.1%,0.83,2.4%,-91.7,-8.1,0.95,-102.6,140,90,262
Boston Red Sox,4.12,131.5,13.6,6390,14.4,114.9,-100.5,0.99,10.1,4.5,10.9%,85.1%,-74.1%,1.22,2.9%,132.2,13.4,0.92,132.1,168,134,213
Chicago White Sox,5.06,-76.7,-6.8,6433,-7.3,99.2,-106.5,0.92,-8.8,0.8,-1.6%,26.1%,-27.7%,0.4,-0.8%,-80.4,-7.2,0.95,-99.6,143,97,280
Cleveland Indians,3.48,197.9,20.2,6008,22.3,110.7,-88.4,0.96,19.4,3.8,12.0%,73.3%,-61.3%,1.08,-0.6%,218.4,22.0,0.89,235.5,140,123,234
Detroit Tigers,5.52,-125.9,-11.6,6499,-10.6,98.4,-108.9,0.89,-13.7,1.8,-2.8%,37.0%,-39.8%,0.55,-0.5%,-139.6,-12.7,0.96,-150.7,134,116,260
Houston Astros,4.32,2.9,1.0,6341,6.4,107.5,-101.1,0.96,2.6,4.0,4.3%,38.7%,-34.4%,0.57,5.1%,36.6,4.5,0.95,39.9,143,114,262
Kansas City Royals,4.88,-18.6,-1.3,6405,1.5,107.9,-106.3,0.97,-2.6,4.1,-1.7%,56.3%,-58.0%,0.86,-0.5%,-34.4,-2.7,0.94,-18.2,177,104,257
Los Angeles Angels,4.38,20.4,2.3,6233,0.1,107.3,-107.2,0.98,2.4,-2.3,-0.8%,54.6%,-55.4%,0.84,-2.6%,34.1,3.7,0.91,39.1,177,113,253
Minnesota Twins,4.86,-21.0,-1.4,6386,-1.2,103.1,-104.4,0.92,-5.3,3.9,-2.6%,77.0%,-79.6%,1.16,1.2%,-31.3,-2.3,0.94,-48.7,155,104,261
New York Yankees,4.07,118.5,12.0,6274,7.3,104.9,-97.6,0.95,11.2,-3.5,4.8%,87.9%,-83.1%,1.33,-3.1%,114.7,11.6,0.92,132.1,143,109,225
Oakland Athletics,5.1,-93.6,-8.5,6412,-10.9,104.3,-115.3,0.96,-10.2,-1.2,-1.8%,21.3%,-23.1%,0.33,-1.3%,-94.2,-8.7,0.94,-96.6,157,123,245
Seattle Mariners,4.77,-44.7,-3.7,6329,-4.2,103.0,-107.1,0.96,-2.4,-1.9,-2.6%,42.6%,-45.2%,0.66,-2.5%,-30.9,-2.5,0.93,-34.4,206,105,216
Tampa Bay Rays,4.35,34.6,3.5,6312,4.3,113.0,-108.7,1.03,4.9,-0.8,0.8%,61.5%,-60.7%,0.94,-1.7%,40.9,4.4,0.93,47.6,187,125,199
Texas Rangers,5.04,17.6,2.2,6403,-1.4,103.8,-105.2,0.94,-3.2,1.6,-1.5%,42.3%,-43.8%,0.64,-1.3%,-30.8,-2.1,0.94,-23.2,135,114,215
Toronto Blue Jays,4.84,8.6,1.4,6518,3.0,117.1,-114.2,1.04,0.0,2.8,-0.7%,30.0%,-30.8%,0.45,-1.3%,-9.6,-0.1,0.94,6.2,204,121,253
League Average,4.67,4.0,1.0,6361,1.0,106.0,-105.0,0.96,-0.0,2.0,1%,53%,-52%,0.79,1%,2.0,1.0,0.0,4.0,161,113,242
,4.67,60.7,14.8,95414,19.7,1596.9,-1577.2,0.96,-4.3,24.8,15.0%,789.1%,-774.1%,0.79,11.8%,34.0,13.4,0.93,58.5,2409,1692,3635
